,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Sampdoria,Atalanta,2,0,2,6.5,6.9,5.25,4.00,1.61,52%,48%,11,9,"['Audero', 'Bereszynski', 'Ferrari', 'Colley', 'Augello', 'Vieira', 'Leris', 'Sabiri', 'Rincon', 'Djuricic', 'Caputo']","['Musso', 'Toloi', 'Okoli', 'Djimsiti', 'Hateboer', 'de Roon', 'Koopmeiners', 'Maehle', 'Pasalic', 'Muriel', 'Zapata']",4 - 1 - 4 - 1,3 - 4 - 1 - 2
1,AC Milan,Udinese,1,4,2,7.2,6.3,1.44,4.75,6.50,65%,35%,14,9,"['Maignan', 'Calabria', 'Kalulu', 'Tomori', 'Hernandez', 'Bennacer', 'Krunic', 'Messias', 'Diaz', 'Leao', 'Rebic']","['Silvestri', 'Rodrigo Becao', 'Nuytinck', 'Perez', 'Soppy', 'Pereyra', 'Walace', 'Makengo', 'Masina', 'Success', 'Deulofeu']",4 - 2 - 3 - 1,3 - 5 - 2
2,Monza,Torino,2,1,2,6.6,7.2,,3.10,2.90,54%,46%,15,13,"['Di Gregorio', 'Marlon', 'Mari', 'Carlos Augusto', 'Birindelli', 'Ranocchia', 'Barberis', 'Valoti', ""D'Alessandro"", 'Caprari', 'Petagna']","['Milinkovic-Savic', 'Adopo', 'Djidji', 'Rodriguez', 'Singo', 'Linetty', 'Ricci', 'Aina', 'Miranchuk', 'Radonjic', 'Sanabria']",3 - 5 - 2,3 - 4 - 2 - 1
3,Lecce,Inter,2,1,2,6.6,7.2,8.00,5.25,1.36,30%,70%,10,19,"['Falcone', 'Gendrey', 'Cetin', 'Baschirotto', 'Gallo', 'Bistrovic', 'Hjulmand', 'Gonzalez', 'Strefezza', 'Ceesay', 'Di Francesco']","['Handanovic', 'Skriniar', 'de Vrij', 'Dimarco', 'Darmian', 'Barella', 'Brozovic', 'Calhanoglu', 'Gosens', 'Lukaku', 'Martinez']",4 - 3 - 3,3 - 5 - 2
4,Lazio,Bologna,1,2,1,6.9,6.3,1.70,4.00,4.75,41%,59%,9,11,"['Maximiano', 'Lazzari', 'Patric', 'Romagnoli', 'Marusic', 'Milinkovic-Savic', 'Cataldi', 'Basic', 'Felipe Anderson', 'Immobile', 'Zaccagni']","['Skorupski', 'Soumaoro', 'Medel', 'Lykogiannis', 'De Silvestri', 'Schouten', 'Dominguez', 'Cambiaso', 'Soriano', 'Arnautovic', 'Sansone']",4 - 3 - 3,3 - 4 - 1 - 2
5,Fiorentina,Cremonese,1,3,2,7.5,6.4,1.60,4.20,5.25,75%,25%,27,13,"['Gollini', 'Benassi', 'Milenkovic', 'Martinez Quarta', 'Biraghi', 'Bonaventura', 'Amrabat', 'Maleh', 'Kouame', 'Jovic', 'Sottil']","['Radu', 'Bianchetti', 'Chiriches', 'Vasquez', 'Ghiglione', 'Pickel', 'Escalante', 'Sernicola', 'Zanimacchia', 'Dessers', 'Okereke']",4 - 3 - 3,3 - 4 - 1 - 2
6,Spezia,Empoli,1,1,0,7.2,6.7,2.40,3.40,2.87,41%,59%,9,18,"['Dragowski', 'Caldara', 'Kiwior', 'Nikolaou', 'Gyasi', 'Agudelo', 'Bourabia', 'Bastoni', 'Reca', 'Verde', 'Nzola']","['Vicario', 'Stojanovic', 'Ismajli', 'Luperto', 'Parisi', 'Henderson', 'Marin', 'Bandinelli', 'Bajrami', 'Lammers', 'Destro']",3 - 5 - 2,4 - 3 - 1 - 2
7,Salernitana,AS Roma,2,0,1,6.6,7.2,6.00,4.75,1.50,52%,48%,13,20,"['Sepe', 'Bronn', 'Gyomber', 'Fazio', 'Candreva', 'Kastanos', 'Coulibaly', 'Vilhena', 'Mazzocchi', 'Bonazzoli', 'Botheim']","['Patricio', 'Mancini', 'Smalling', 'Ibanez', 'Karsdorp', 'Pellegrini', 'Cristante', 'Spinazzola', 'Dybala', 'Zaniolo', 'Abraham']",3 - 5 - 2,3 - 4 - 2 - 1
8,Verona,Napoli,2,2,5,6.1,7.6,3.60,3.60,2.00,34%,66%,6,25,"['Montipo', 'Dawidowicz', 'Gunter', 'Amione', 'Faraoni', 'Tameze', 'Hongla', 'Ilic', 'Lazovic', 'Lasagna', 'Henry']","['Meret', 'Di Lorenzo', 'Rrahmani', 'Kim', 'Rui', 'Anguissa', 'Lobotka', 'Zielinski', 'Lozano', 'Osimhen', 'Kvaratskhelia']",3 - 5 - 2,4 - 3 - 3
9,Juventus,Sassuolo,1,3,0,7.5,6.4,1.45,4.75,6.50,42%,58%,14,19,"['Perin', 'Danilo', 'Bonucci', 'Bremer', 'Alex Sandro', 'Cuadrado', 'Zakaria', 'Locatelli', 'McKennie', 'Di Maria', 'Vlahovic']","['Consigli', 'Muldur', 'Ayhan', 'Ferrari', 'Rogerio', 'Frattesi', 'Matheus Henrique', 'Thorstvedt', 'Berardi', 'Defrel', 'Kyriakopoulos']",4 - 4 - 2,4 - 3 - 3
