,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
99,Eintracht Frankfurt,B. Monchengladbach,0,3,3,6.7,6.6,,,2.37,43%,57%,11,8,"['Trapp', 'Abraham', 'Hasebe', 'Hinteregger', 'Rode', 'Durm', 'Sow', 'Barkok', 'Kostic', 'Andre Silva', 'Younes']","['Sommer', 'Lainer', 'Ginter', 'Elvedi', 'Wendt', 'Kramer', 'Benes', 'Wolf', 'Stindl', 'Thuram', 'Plea']",3 - 1 - 4 - 2,4 - 2 - 3 - 1
100,Werder Bremen,Dortmund,2,1,2,6.7,7.1,,,1.45,48%,52%,7,15,"['Pavlenka', 'Gross', 'Toprak', 'Friedl', 'Gebre Selassie', 'Mohwald', 'Augustinsson', 'Eggestein', 'Mbom', 'Sargent', 'Osako']","['Burki', 'Morey Bauza', 'Hummels', 'Akanji', 'Guerreiro', 'Bellingham', 'Witsel', 'Sancho', 'Reus', 'Reyna', 'Moukoko']",3 - 3 - 2 - 2,4 - 2 - 3 - 1
101,Stuttgart,Union Berlin,0,2,2,6.8,7.1,,,,,,,,"['Kobel', 'Mavropanos', 'Anton', 'Kempf', 'Silas', 'Endo', 'Sosa', 'Forster', 'Castro', 'Klimowicz', 'Gonzalez']","['Luthe', 'Friedrich', 'Knoche', 'Giesselmann', 'Trimmel', 'Griesbeck', 'Promel', 'Lenz', 'Becker', 'Teuchert', 'Awoniyi']",3 - 3 - 2 - 2,3 - 4 - 2 - 1
102,Hertha Berlin,Mainz,0,0,0,6.9,6.9,,,,,,,5,"['Schwolow', 'Zeefuik', 'Boyata', 'Torunarigha', 'Plattenhardt', 'Tousart', 'Stark', 'Guendouzi', 'Dilrosun', 'Piatek', 'Cunha']","['Zentner', 'St. Juste', 'Hack', 'Niakhate', 'Fernandes', 'Barreiro', 'Kunde', 'Martin', 'Stoger', 'Onisiwo', 'Quaison']",4 - 3 - 3,3 - 4 - 1 - 2
103,Schalke,Freiburg,2,0,2,6.5,7.4,,,,,,,11,"['Fahrmann', 'Stambouli', 'Kabak', 'Sane', 'Oczipka', 'Mascarell', 'Serdar', 'Matondo', 'Harit', 'Raman', 'Boujellab']","['Muller', 'Lienhart', 'Schlotterbeck', 'Gulde', 'Schmid', 'Santamaria', 'Hofler', 'Gunter', 'Sallai', 'Petersen', 'Grifo']",4 - 2 - 3 - 1,3 - 4 - 3
104,Hoffenheim,RB Leipzig,2,0,1,6.6,7.2,,,1.60,46%,54%,7,4,"['Baumann', 'Akpoguma', 'Adams', 'Vogt', 'Sessegnon', 'Skov', 'Rudy', 'Samassekou', 'Baumgartner', 'Dabbur', 'Kramaric']","['Gulacsi', 'Konate', 'Upamecano', 'Orban', 'Mukiele', 'Sabitzer', 'Kampl', 'Angelino', 'Forsberg', 'Poulsen', 'Olmo']",4 - 4 - 2,3 - 4 - 3
105,FC Koln,Bayer Leverkusen,2,0,4,6.1,7.4,4.75,4.50,1.60,38%,62%,7,14,"['Horn', 'Cestic', 'Bornauw', 'Horn', 'Wolf', 'Ozcan', 'Skhiri', 'Rexhbecaj', 'Jakobs', 'Thielmann', 'Andersson']","['Hradecky', 'Weiser', 'Tah', 'Dragovic', 'Wendell', 'Wirtz', 'Baumgartlinger', 'Amiri', 'Bailey', 'Schick', 'Diaby']",3 - 5 - 2,4 - 3 - 3
106,Bayern Munich,Wolfsburg,1,2,1,7.4,6.7,,,,,42%,13,17,"['Neuer', 'Sule', 'Boateng', 'Alaba', 'Hernandez', 'Tolisso', 'Coman', 'Muller', 'Gnabry', 'Sane', 'Lewandowski']","['Casteels', 'Mbabu', 'Lacroix', 'Pongracic', 'Roussillon', 'Arnold', 'Schlager', 'Baku', 'Philipp', 'Brekalo', 'Weghorst']",4 - 1 - 4 - 1,4 - 2 - 3 - 1
107,Arminia Bielefeld,Augsburg,2,0,1,6.7,7.3,2.60,3.30,2.70,52%,48%,12,8,"['Ortega', 'Brunner', 'van der Hoorn', 'Nilsson', 'De Medina', 'Kunze', 'Hartel', 'Doan', 'Cordova', 'Klos', 'Schipplock']","['Gikiewicz', 'Oxford', 'Gouweleeuw', 'Uduokhai', 'Framberger', 'Khedira', 'Gruezo', 'Caligiuri', 'Strobl', 'Gregoritsch', 'Richter']",4 - 2 - 2 - 2,3 - 4 - 1 - 2
108,Union Berlin,Dortmund,1,2,1,7.1,6.8,4.75,4.00,1.66,34%,66%,12,16,"['Luthe', 'Trimmel', 'Friedrich', 'Knoche', 'Lenz', 'Promel', 'Becker', 'Griesbeck', 'Teuchert', 'Bulter', 'Awoniyi']","['Burki', 'Meunier', 'Akanji', 'Hummels', 'Guerreiro', 'Witsel', 'Can', 'Sancho', 'Reus', 'Reyna', 'Moukoko']",4 - 1 - 4 - 1,4 - 2 - 3 - 1
