,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Fiorentina,Torino,1,1,0,7.1,6.8,1.80,4.00,4.00,53%,47%,17,6,"['Dragowski', 'Milenkovic', 'Ceccherini', 'Caceres', 'Chiesa', 'Bonaventura', 'Duncan', 'Castrovilli', 'Biraghi', 'Kouame', 'Ribery']","['Sirigu', 'Izzo', ""N'Koulou"", 'Bremer', 'Ansaldi', 'Meite', 'Rincon', 'Linetty', 'Berenguer', 'Zaza', 'Belotti']",3 - 5 - 2,4 - 3 - 1 - 2
1,Verona,AS Roma,1,3,0,7.2,7.0,,4.00,1.75,45%,55%,9,15,"['Silvestri', 'Cetin', 'Alan Empereur', 'Gunter', 'Faraoni', 'Veloso', 'Tameze', 'Dimarco', 'Tupta', 'Danzi', 'Di Carmine']","['Mirante', 'Ibanez', 'Mancini', 'Cristante', 'Karsdorp', 'Diawara', 'Veretout', 'Spinazzola', 'Pedro', 'Pellegrini', 'Mkhitaryan']",3 - 4 - 2 - 1,3 - 4 - 2 - 1
2,Parma,Napoli,2,0,2,6.5,7.3,,,1.44,41%,59%,4,12,"['Sepe', 'Darmian', 'Iacoponi', 'Alves', 'Pezzella', 'Hernani', 'Brugman', 'Grassi', 'Kucka', 'Inglese', 'Cornelius']","['Ospina', 'Di Lorenzo', 'Koulibaly', 'Manolas', 'Hysaj', 'Ruiz', 'Demme', 'Zielinski', 'Lozano', 'Mertens', 'Insigne']",4 - 3 - 1 - 2,4 - 3 - 3
3,Genoa,Crotone,1,4,1,7.4,6.3,,3.40,3.00,49%,51%,10,11,"['Perin', 'Biraschi', 'Zapata', 'Goldaniga', 'Ghiglione', 'Lerager', 'Zajc', 'Badelj', 'Zappacosta', 'Pandev', 'Destro']","['Cordaz', 'Magallan', 'Marrone', 'Golemic', 'Molina', 'Messias', 'Cigarini', 'Zanellato', 'Mazzotta', 'Simy', 'Riviere']",3 - 5 - 2,3 - 5 - 2
4,Sassuolo,Cagliari,0,1,1,7.3,7.1,,4.33,4.50,65%,35%,21,8,"['Consigli', 'Toljan', 'Chiriches', 'Ferrari', 'Rogerio', 'Locatelli', 'Obiang', 'Berardi', 'Djuricic', 'Haraslin', 'Caputo']","['Cragno', 'Farago', 'Walukiewicz', 'Klavan', 'Lykogiannis', 'Caligara', 'Marin', 'Rog', 'Nandez', 'Simeone', 'Joao Pedro Galvao']",4 - 2 - 3 - 1,4 - 3 - 3
5,Juventus,Sampdoria,1,3,0,7.6,6.5,1.44,4.33,7.50,62%,38%,14,10,"['Szczesny', 'Danilo', 'Bonucci', 'Chiellini', 'Cuadrado', 'Rabiot', 'McKennie', 'Frabotta', 'Ramsey', 'Kulusevski', 'Ronaldo']","['Audero', 'Bereszynski', 'Colley', 'Tonelli', 'Augello', 'Depaoli', 'Thorsby', 'Ekdal', 'Leris', 'Jankto', 'Bonazzoli']",3 - 4 - 1 - 2,4 - 5 - 1
6,AC Milan,Bologna,1,2,0,7.5,6.4,1.44,4.75,6.50,61%,39%,14,6,"['Donnarumma', 'Calabria', 'Kjaer', 'Gabbia', 'Hernandez', 'Kessie', 'Bennacer', 'Castillejo', 'Calhanoglu', 'Rebic', 'Ibrahimovic']","['Skorupski', 'De Silvestri', 'Tomiyasu', 'Danilo', 'Dijks', 'Schouten', 'Orsolini', 'Dominguez', 'Soriano', 'Barrow', 'Palacio']",4 - 2 - 3 - 1,4 - 1 - 4 - 1
7,Torino,Atalanta,2,2,4,6.4,7.4,,4.50,1.60,46%,54%,5,12,"['Sirigu', 'Vojvoda', 'Bremer', ""N'Koulou"", 'Murru', 'Meite', 'Rincon', 'Linetty', 'Berenguer', 'Zaza', 'Belotti']","['Sportiello', 'Toloi', 'Caldara', 'Sutalo', 'Hateboer', 'de Roon', 'Freuler', 'Gosens', 'Papu Gomez', 'Muriel', 'Zapata']",4 - 3 - 1 - 2,3 - 4 - 1 - 2
8,Sampdoria,Benevento,2,2,3,6.5,7.1,1.72,3.80,4.75,43%,57%,5,11,"['Audero', 'Bereszynski', 'Tonelli', 'Colley', 'Augello', 'Candreva', 'Verre', 'Ekdal', 'Jankto', 'Bonazzoli', 'Quagliarella']","['Montipo', 'Letizia', 'Glik', 'Caldirola', 'Foulon', 'Dabo', 'Schiattarella', 'Ionita', 'Insigne', 'Caprari', 'Moncini']",4 - 4 - 2,4 - 3 - 2 - 1
9,Cagliari,Lazio,2,0,2,6.6,7.4,,,,,52%,,9,"['Cragno', 'Farago', 'Walukiewicz', 'Klavan', 'Lykogiannis', 'Nandez', 'Marin', 'Rog', 'Sottil', 'Simeone', 'Joao Pedro Galvao']","['Strakosha', 'Patric', 'Acerbi', 'Radu', 'Lazzari', 'Milinkovic-Savic', 'Lucas Leiva', 'Luis Alberto', 'Marusic', 'Immobile', 'Correa']",4 - 3 - 3,3 - 5 - 2
10,Inter,Fiorentina,1,4,3,7.1,6.6,1.50,4.20,6.50,63%,37%,12,8,"['Handanovic', ""D'Ambrosio"", 'Bastoni', 'Kolarov', 'Young', 'Barella', 'Brozovic', 'Perisic', 'Eriksen', 'Lukaku', 'Martinez']","['Dragowski', 'Milenkovic', 'Ceccherini', 'Caceres', 'Chiesa', 'Bonaventura', 'Amrabat', 'Castrovilli', 'Biraghi', 'Ribery', 'Kouame']",3 - 4 - 1 - 2,3 - 5 - 2
11,Spezia,Sassuolo,2,1,4,6.1,7.6,4.60,3.80,1.72,39%,61%,11,10,"['Zoet', 'Sala', ""Dell'Orco"", 'Erlic', 'Ramos', 'Ricci', 'Bartolomei', 'Pobega', 'Agudelo', 'Galabinov', 'Gyasi']","['Consigli', 'Toljan', 'Chiriches', 'Ferrari', 'Kyriakopoulos', 'Obiang', 'Locatelli', 'Berardi', 'Djuricic', 'Defrel', 'Caputo']",4 - 3 - 3,4 - 2 - 3 - 1
12,Verona,Udinese,1,1,0,7.4,6.7,2.62,3.00,2.90,46%,54%,8,14,"['Silvestri', 'Cetin', 'Gunter', 'Lovato', 'Faraoni', 'Tameze', 'Veloso', 'Dimarco', 'Barak', 'Zaccagni', 'Di Carmine']","['Musso', 'Rodrigo Becao', 'De Maio', 'Samir Caetano', 'ter Avest', 'de Paul', 'Coulibaly', 'Arslan', 'Zeegelaar', 'Lasagna', 'Okaka']",3 - 4 - 2 - 1,3 - 5 - 2
13,Napoli,Genoa,1,6,0,7.9,5.9,1.22,6.50,12.00,57%,43%,18,3,"['Meret', 'Di Lorenzo', 'Manolas', 'Koulibaly', 'Hysaj', 'Ruiz', 'Zielinski', 'Lozano', 'Mertens', 'Insigne', 'Osimhen']","['Marchetti', 'Biraschi', 'Goldaniga', 'Masiello', 'Zappacosta', 'Lerager', 'Badelj', 'Zajc', 'Pellegrini', 'Pjaca', 'Destro']",4 - 2 - 3 - 1,3 - 5 - 2
14,Crotone,AC Milan,2,0,2,6.5,7.4,5.50,4.10,1.60,47%,53%,5,11,"['Cordaz', 'Magallan', 'Marrone', 'Golemic', 'Pereira', 'Zanellato', 'Cigarini', 'Messias', 'Molina', 'Simy', 'Dragus']","['Donnarumma', 'Calabria', 'Kjaer', 'Gabbia', 'Hernandez', 'Tonali', 'Kessie', 'Diaz', 'Calhanoglu', 'Saelemaekers', 'Rebic']",3 - 5 - 2,4 - 2 - 3 - 1
15,AS Roma,Juventus,0,2,2,6.8,6.8,3.25,3.50,2.15,43%,57%,7,6,"['Mirante', 'Mancini', 'Ibanez', 'Kumbulla', 'Santon', 'Veretout', 'Pellegrini', 'Spinazzola', 'Mkhitaryan', 'Pedro', 'Dzeko']","['Szczesny', 'Danilo', 'Bonucci', 'Chiellini', 'Cuadrado', 'McKennie', 'Rabiot', 'Kulusevski', 'Ramsey', 'Morata', 'Ronaldo']",3 - 4 - 2 - 1,3 - 4 - 1 - 2
16,Bologna,Parma,1,4,1,7.5,6.3,1.90,3.75,3.75,59%,41%,11,8,"['Skorupski', 'De Silvestri', 'Danilo', 'Tomiyasu', 'Hickey', 'Poli', 'Schouten', 'Skov Olsen', 'Soriano', 'Palacio', 'Barrow']","['Sepe', 'Laurini', 'Iacoponi', 'Alves', 'Darmian', 'Dezi', 'Brugman', 'Hernani', 'Kucka', 'Gervinho', 'Karamoh']",4 - 2 - 3 - 1,4 - 3 - 1 - 2
17,Udinese,Spezia,2,0,2,6.3,7.1,,,,,50%,,4,"['Musso', 'Rodrigo Becao', 'De Maio', 'Samir Caetano', 'ter Avest', 'de Paul', 'Palumbo', 'Coulibaly', 'Zeegelaar', 'Lasagna', 'Okaka']","['Zoet', 'Ferrer', 'Chabot', 'Terzi', 'Ramos', 'Deiola', 'Ricci', 'Maggiore', 'Verde', 'Galabinov', 'Gyasi']",3 - 5 - 2,4 - 3 - 3
18,Benevento,Inter,2,2,5,6.3,7.4,9.50,5.50,1.30,34%,66%,11,18,"['Montipo', 'Maggio', 'Glik', 'Caldirola', 'Barba', 'Ionita', 'Schiattarella', 'Dabo', 'Insigne', 'Moncini', 'Caprari']","['Handanovic', 'Skriniar', 'de Vrij', 'Kolarov', 'Hakimi', 'Gagliardini', 'Sensi', 'Young', 'Vidal', 'Lukaku', 'Sanchez']",4 - 3 - 3,3 - 4 - 1 - 2
19,Lazio,Atalanta,2,1,4,6.3,7.6,,,,,,,,"['Strakosha', 'Patric', 'Acerbi', 'Radu', 'Lazzari', 'Milinkovic-Savic', 'Lucas Leiva', 'Luis Alberto', 'Marusic', 'Caicedo', 'Immobile']","['Sportiello', 'Toloi', 'Palomino', 'Djimsiti', 'Hateboer', 'Pasalic', 'Freuler', 'Gosens', 'Malinovsky', 'Papu Gomez', 'Zapata']",3 - 5 - 2,3 - 4 - 1 - 2
20,Fiorentina,Sampdoria,2,1,2,6.9,7.3,1.70,4.00,4.50,61%,39%,16,14,"['Dragowski', 'Milenkovic', 'Ceccherini', 'Caceres', 'Chiesa', 'Bonaventura', 'Amrabat', 'Castrovilli', 'Biraghi', 'Vlahovic', 'Kouame']","['Audero', 'Bereszynski', 'Tonelli', 'Yoshida', 'Augello', 'Candreva', 'Thorsby', 'Ekdal', 'Damsgaard', 'Quagliarella', 'Ramirez']",3 - 5 - 2,4 - 4 - 2
21,Sassuolo,Crotone,1,4,1,7.4,6.2,,,,,,,,"['Consigli', 'Muldur', 'Chiriches', 'Ferrari', 'Toljan', 'Bourabia', 'Locatelli', 'Berardi', 'Djuricic', 'Defrel', 'Caputo']","['Cordaz', 'Magallan', 'Marrone', 'Golemic', 'Reca', 'Vulic', 'Cigarini', 'Molina', 'Pereira', 'Simy', 'Messias']",4 - 2 - 3 - 1,3 - 5 - 2
22,Udinese,AS Roma,2,0,1,6.5,7.5,,,,,,,,"['Musso', 'Rodrigo Becao', 'De Maio', 'Samir Caetano', 'ter Avest', 'de Paul', 'Arslan', 'Pereyra', 'Ouwejan', 'Lasagna', 'Okaka']","['Mirante', 'Mancini', 'Ibanez', 'Kumbulla', 'Santon', 'Pellegrini', 'Veretout', 'Spinazzola', 'Mkhitaryan', 'Pedro', 'Dzeko']",3 - 5 - 2,3 - 4 - 2 - 1
23,Atalanta,Cagliari,1,5,2,7.6,6.5,,,,,44%,,7,"['Sportiello', 'Djimsiti', 'Romero', 'Palomino', 'Hateboer', 'de Roon', 'Pasalic', 'Gosens', 'Papu Gomez', 'Zapata', 'Muriel']","['Cragno', 'Zappa', 'Walukiewicz', 'Godin', 'Lykogiannis', 'Sottil', 'Marin', 'Rog', 'Nandez', 'Simeone', 'Joao Pedro Galvao']",3 - 4 - 1 - 2,4 - 4 - 2
