,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Crystal Palace,Arsenal,2,0,2,6.5,7.3,4.50,3.60,1.80,56%,44%,10,10,"['Guaita', 'Clyne', 'Andersen', 'Guehi', 'Mitchell', 'Doucoure', 'Schlupp', 'Ayew', 'Eze', 'Zaha', 'Edouard']","['Ramsdale', 'White', 'Saliba', 'Gabriel', 'Zinchenko', 'Partey', 'Xhaka', 'Saka', 'Odegaard', 'Martinelli', 'Gabriel Jesus']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
1,Fulham,Liverpool,0,2,2,6.9,6.7,11.00,5.75,1.28,33%,67%,9,11,"['Rodak', 'Tete', 'Adarabioyo', 'Ream', 'Robinson', 'Reed', 'Palhinha', 'Kebano', 'Pereira', 'De Cordova-Reid', 'Mitrovic']","['Alisson', 'Alexander-Arnold', 'Matip', 'van Dijk', 'Robertson', 'Henderson', 'Fabinho', 'Thiago', 'Salah', 'Firmino', 'Diaz']",4 - 2 - 3 - 1,4 - 3 - 3
2,Tottenham,Southampton,1,4,1,7.4,6.3,1.36,5.00,8.50,58%,42%,18,10,"['Lloris', 'Romero', 'Dier', 'Davies', 'Emerson Royal', 'Bentancur', 'Hojbjerg', 'Sessegnon', 'Kulusevski', 'Son', 'Kane']","['Bazunu', 'Walker-Peters', 'Valery', 'Bednarek', 'Salisu', 'Djenepo', 'Ward-Prowse', 'Lavia', 'Romeu', 'Aribo', 'Armstrong']",3 - 4 - 2 - 1,5 - 3 - 2
3,Newcastle,Nottingham,1,2,0,7.5,6.5,1.53,4.00,6.00,62%,38%,23,5,"['Pope', 'Trippier', 'Schar', 'Burn', 'Targett', 'Willock', 'Guimaraes', 'Joelinton', 'Almiron', 'Wilson', 'Saint-Maximin']","['Henderson', 'Williams', 'Worrall', 'Niakhate', 'McKenna', 'Toffolo', ""O'Brien"", 'Colback', 'Lingard', 'Johnson', 'Surridge']",4 - 3 - 3,5 - 3 - 2
4,Leeds,Wolves,1,2,1,7.2,6.8,2.37,3.30,3.00,39%,61%,12,15,"['Meslier', 'Kristensen', 'Koch', 'Llorente', 'Struijk', 'Roca', 'Adams', 'Aaronson', 'Rodrigo', 'Harrison', 'Bamford']","['Sa', 'Jonny Otto', 'Collins', 'Kilman', 'Ait-Nouri', 'Dendoncker', 'Neves', 'Podence', 'Gibbs-White', 'Neto', 'Hwang']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
5,Bournemouth,Aston Villa,1,2,0,7.3,6.5,4.00,3.50,1.95,34%,66%,7,15,"['Travers', 'Smith', 'Lerma', 'Mepham', 'Kelly', 'Zemura', 'Pearson', 'Billing', 'Tavernier', 'Moore', 'Solanke']","['Martinez', 'Cash', 'Konsa', 'Diego Carlos', 'Digne', 'McGinn', 'Kamara', 'Ramsey', 'Bailey', 'Ings', 'Coutinho']",5 - 3 - 2,4 - 3 - 3
6,Everton,Chelsea,2,0,1,6.6,7.3,,,,37%,63%,8,15,"['Pickford', 'Patterson', 'Godfrey', 'Mina', 'Tarkowski', 'Mykolenko', 'McNeil', 'Doucoure', 'Iwobi', 'Gray', 'Gordon']","['Mendy', 'Azpilicueta', 'Silva', 'Koulibaly', 'James', 'Kante', 'Jorginho', 'Chilwell', 'Mount', 'Sterling', 'Havertz']",5 - 4 - 1,3 - 4 - 3
7,Manchester Utd,Brighton,2,1,2,6.5,7.1,1.80,3.75,4.33,63%,37%,17,15,"['de Gea', 'Dalot', 'Maguire', 'Martinez', 'Shaw', 'McTominay', 'Fred', 'Fernandes', 'Sancho', 'Eriksen', 'Rashford']","['Sanchez', 'Veltman', 'Dunk', 'Webster', 'Gross', 'Mac Allister', 'Caicedo', 'Trossard', 'March', 'Lallana', 'Welbeck']",4 - 3 - 3,3 - 4 - 2 - 1
8,Leicester,Brentford,0,2,2,7.0,6.8,1.85,3.80,4.00,55%,45%,14,8,"['Ward', 'Fofana', 'Evans', 'Amartey', 'Castagne', 'Dewsbury-Hall', 'Ndidi', 'Tielemans', 'Justin', 'Maddison', 'Vardy']","['Raya', 'Hickey', 'Jansson', 'Mee', 'Henry', 'Janelt', 'Norgaard', 'Jensen', 'Mbeumo', 'Toney', 'Wissa']",3 - 5 - 1 - 1,4 - 3 - 3
9,West Ham,Manchester City,2,0,2,6.3,7.3,7.50,5.25,1.36,25%,75%,6,14,"['Fabianski', 'Coufal', 'Johnson', 'Zouma', 'Cresswell', 'Soucek', 'Rice', 'Bowen', 'Lanzini', 'Fornals', 'Antonio']","['Ederson', 'Walker', 'Dias', 'Ake', 'Cancelo', 'De Bruyne', 'Rodri', 'Gundogan', 'Foden', 'Haaland', 'Grealish']",4 - 2 - 3 - 1,4 - 3 - 3
