,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Nice,Lille,0,1,1,7.1,7.1,2.45,3.50,2.90,0.57,1.24,40%,60%,"['Bulka', 'Atal', 'Todibo', 'Dante', 'Bard', 'Sanson', 'Ndayishimiye', 'Thuram', 'Laborde', 'Moffi', 'Boga']","['Chevalier', 'Santos', 'Diakite', 'Alexsandro', 'Ismaily', 'Baleba', 'Andre', 'Virginius', 'Cabella', 'Haraldsson', 'David']",4 - 3 - 3,4 - 2 - 3 - 1
1,Marseille,Reims,1,2,1,7.3,6.5,1.95,3.75,3.80,1.11,0.69,42%,58%,"['Lopez', 'Clauss', 'Gigot', 'Mbemba', 'Lodi', 'Mughe', 'Rongier', 'Kondogbia', 'Ounahi', 'Vitinha', 'Ndiaye']","['Diouf', 'Foket', 'Okumu', 'Abdelhamid', 'Wilson-Esbrand', 'Richardson', 'Matusiwa', 'Ito', 'Munetsi', 'Khadra', 'Diakite']",4 - 4 - 2,4 - 2 - 3 - 1
2,PSG,Lorient,0,0,0,7.2,7.0,1.40,4.75,7.00,0.65,0.03,78%,22%,"['Donnarumma', 'Hakimi', 'Pereira', 'Skriniar', 'Hernandez', 'Zaire-Emery', 'Ugarte', 'Vitinha', 'Asensio', 'Ramos', 'Lee']","['Mvogo', 'Kalulu', 'Meite', 'Talbi', 'Laporte', 'Le Goff', 'Faivre', 'Abergel', 'Makengo', 'Le Bris', 'Dieng']",4 - 3 - 3,5 - 4 - 1
3,Brest,Lens,1,3,2,7.2,6.5,3.50,3.20,2.15,2.86,0.84,48%,52%,"['Bizot', 'Lala', 'Chardonnet', 'Brassier', 'Locko', 'Lees-Melou', 'Magnetti', 'Pereira Lage', 'Del Castillo', 'Le Douaron', 'Satriano']","['Samba', 'Gradit', 'Danso', 'Medina', 'Frankowski', 'Abdul Samed', 'Diouf', 'Machado', 'Sotoca', 'Guilavogui', 'Fulgini']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
4,Nantes,Toulouse,2,1,2,6.6,7.1,3.00,3.40,2.30,1.07,1.12,43%,57%,"['Lafont', 'Zeze', 'Pierre-Gabriel', 'Pallois', 'Coco', 'Moutoussamy', 'Chirivella', 'Merlin', 'Mollet', 'Mostafa Mohamed', 'Simon']","['Restes', 'Desler', 'Costa', 'Nicolaisen', 'Diarra', 'Sierro', 'Casseres', 'Genreau', 'Aboukhlal', 'Dallinga', 'Suazo']",3 - 4 - 1 - 2,4 - 3 - 3
5,Montpellier,Le Havre,0,2,2,7.1,6.8,1.70,3.80,5.00,1.65,1.32,58%,42%,"['Lecomte', 'Sacko', 'Jullien', 'Kouyate', 'Sylla', 'Ferri', 'Chotard', 'Al-Tamari', 'Savanier', 'Khazri', 'Adams']","['Desmas', 'Nego', 'Salmier', 'Sangante', 'Lloris', 'Casimir', 'Ndiaye', 'Targhalline', 'Kuzyaev', 'Soumare', 'Alioui']",4 - 2 - 3 - 1,5 - 3 - 2
6,Clermont,Monaco,2,2,4,6.6,7.1,3.00,3.40,2.38,1.48,2.59,54%,46%,"['Diaw', 'Seidu', 'Wieteska', 'Pelmard', 'Zeffane', 'Gonalons', 'Gastien', 'Neto Borges', 'Muhammed Cham', 'Allevinah', 'Kyei']","['Kohn', 'Matsima', 'Maripan', 'Magassa', 'Vanderson', 'Fofana', 'Camara', 'Caio Henrique', 'Minamino', 'Golovin', 'Ben Yedder']",3 - 4 - 2 - 1,3 - 4 - 2 - 1
7,Rennes,Metz,1,5,1,7.5,6.4,1.62,4.20,4.75,4.18,0.38,70%,30%,"['Mandanda', 'Assignon', 'Omari', 'Theate', 'Belocian', 'Bourigeaud', 'Santamaria', 'Le Fee', 'Doku', 'Kalimuendo', 'Gouiri']","['Oukidja', 'Colin', 'Traore', 'Cande', 'Kouao', ""N'Doram"", 'Jean Jacques', 'Sabaly', 'Maziz', 'Camara', 'Mikautadze']",4 - 3 - 3,4 - 2 - 3 - 1
8,Strasbourg,Lyon,1,2,1,7.3,6.7,2.45,3.60,2.70,1.13,1.24,35%,65%,"['Sels', 'Doukoure', 'Nyamsi', 'Sylla', 'Guilbert', 'Bellegarde', 'Prcic', 'Deminguet', 'Delaine', 'Mothiba', 'Emegha']","['Riou', 'Clinton Mata', 'Caleta-Car', 'Diomande', 'Tagliafico', 'Lepenant', 'Tolisso', 'Barcola', 'Caqueret', 'Cherki', 'Lacazette']",3 - 5 - 2,4 - 2 - 3 - 1
9,Metz,Marseille,0,2,2,6.8,7.1,4.75,4.00,1.70,0.43,1.62,43%,57%,"['Oukidja', 'Colin', 'Traore', 'Lo', 'Cande', ""N'Doram"", 'Mbaye', 'Maziz', 'Jean Jacques', 'Sabaly', 'Mikautadze']","['Lopez', 'Clauss', 'Mbemba', 'Balerdi', 'Lodi', 'Sarr', 'Rongier', 'Kondogbia', 'Soglo', 'Ndiaye', 'Aubameyang']",4 - 1 - 4 - 1,4 - 4 - 2
10,Lyon,Montpellier,2,1,4,6.1,7.3,1.85,4.00,3.60,0.28,2.79,64%,36%,"['Riou', 'Kumbedi', 'Caleta-Car', 'Diomande', 'Tagliafico', 'Caqueret', 'Lepenant', 'Barcola', 'Cherki', 'Jeffinho', 'Lacazette']","['Lecomte', 'Sacko', 'Jullien', 'Kouyate', 'Sylla', 'Chotard', 'Ferri', 'Al-Tamari', 'Savanier', 'Nordin', 'Adams']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
11,Toulouse,PSG,0,1,1,6.8,6.8,4.50,4.00,1.73,0.29,0.54,24%,76%,"['Restes', 'Costa', 'Nicolaisen', 'Diarra', 'Desler', 'Casseres', 'Sierro', 'Suazo', 'Aboukhlal', 'Dallinga', 'Magri']","['Donnarumma', 'Hakimi', 'Marquinhos', 'Skriniar', 'Hernandez', 'Zaire-Emery', 'Ugarte', 'Ruiz', 'Vitinha', 'Ramos', 'Lee']",3 - 4 - 3,4 - 3 - 3
12,Lille,Nantes,1,2,0,7.2,6.5,,,,,0.96,65%,35%,"['Chevalier', 'Santos', 'Diakite', 'Alexsandro', 'Ismaily', 'Gomes', 'Andre', 'Zhegrova', 'Cabella', 'Haraldsson', 'David']","['Descamps', 'Pierre-Gabriel', 'Castelletto', 'Pallois', 'Coco', 'Chirivella', 'Augusto', 'Merlin', 'Mollet', 'Simon', 'Mostafa Mohamed']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
13,Reims,Clermont,1,2,0,7.2,6.6,1.83,3.75,4.00,2.06,0.28,46%,54%,"['Diouf', 'Foket', 'Agbadou', 'Abdelhamid', 'Wilson-Esbrand', 'Richardson', 'Matusiwa', 'Ito', 'Munetsi', 'Nakamura', 'Diakite']","['Diaw', 'Seidu', 'Wieteska', 'Pelmard', 'Zeffane', 'Gonalons', 'Gastien', 'Neto Borges', 'Muhammed Cham', 'Allevinah', 'Kyei']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
14,Lorient,Nice,0,1,1,7.0,7.0,3.30,3.25,2.25,0.63,1.82,40%,60%,"['Mvogo', 'Meite', 'Laporte', 'Talbi', 'Kalulu', 'Abergel', 'Ponceau', 'Le Goff', 'Faivre', 'Dieng', 'Makengo']","['Bulka', 'Atal', 'Ndayishimiye', 'Dante', 'Bard', 'Sanson', 'Rosario', 'Thuram', 'Laborde', 'Guessand', 'Diop']",3 - 4 - 3,4 - 3 - 3
15,Le Havre,Brest,2,1,2,6.7,7.3,2.80,3.10,2.75,1.24,1.17,57%,43%,"['Desmas', 'Casimir', 'Salmier', 'Sangante', 'Lloris', 'Operi', 'Ndiaye', 'Toure', 'Kuzyaev', 'Soumare', 'Alioui']","['Bizot', 'Lala', 'Chardonnet', 'Brassier', 'Locko', 'Camara', 'Magnetti', 'Lees-Melou', 'Del Castillo', 'Le Douaron', 'Satriano']",5 - 3 - 2,4 - 2 - 3 - 1
16,Monaco,Strasbourg,1,3,0,7.3,6.2,1.75,4.20,4.00,0.73,0.44,56%,44%,"['Kohn', 'Singo', 'Zakaria', 'Magassa', 'Vanderson', 'Fofana', 'Camara', 'Caio Henrique', 'Minamino', 'Golovin', 'Ben Yedder']","['Sels', 'Doukoure', 'Nyamsi', 'Sylla', 'Guilbert', 'Bellegarde', 'Deminguet', 'Diarra', 'Delaine', 'Mothiba', 'Gameiro']",3 - 4 - 2 - 1,3 - 5 - 2
