,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Bordeaux,Nantes,0,0,0,6.8,7.0,2.62,2.87,3.10,43%,57%,5,6,"['Costil', 'Poundje', 'Baysse', 'Koscielny', 'Sabaly', 'Zerkane', 'Otavio', 'Basic', 'de Preville', 'Maja', 'Hwang']","['Lafont', 'Fabio', 'Andrei Girotto', 'Pallois', 'Traore', 'Bamba', 'Louza', 'Chirivella', 'Simon', 'Coulibaly', 'Moutoussamy']",4 - 3 - 3,4 - 4 - 2
1,Dijon,Angers,2,0,1,6.7,7.2,3.25,3.10,2.35,54%,46%,9,12,"['Gomis', 'Ngouyamsa Nounchil', 'Ecuele Manga', 'Lautoa', 'Muzinga', 'Marie', 'Cheikh', 'Ndong', 'Dina Ebimbe', 'Scheidler', 'Chouiar']","['Bernardoni', 'Bamba', 'Traore', 'Thomas', 'Doumbia', 'Santamaria', 'Thioub', 'Fulgini', 'Mangani', 'Pereira Lage', 'Kanga']",4 - 3 - 3,4 - 1 - 4 - 1
2,Lille,Rennes,0,1,1,6.8,6.7,,,4.20,51%,49%,5,16,"['Maignan', 'Celik', 'Fonte', 'Botman', 'Mandava', 'Xeka', 'Andre', 'Sanches', 'Bamba', 'Ikone', 'David']","['Mendy', 'Boey', 'Aguerd', 'Da Silva', 'Maouassa', 'Martin', ""N'Zonzi"", 'Bourigeaud', 'Raphinha', 'Niang', 'Terrier']",4 - 2 - 2 - 2,4 - 3 - 3
3,Monaco,Reims,0,2,2,7.3,6.9,1.85,3.40,4.33,76%,24%,22,9,"['Lecomte', 'Aguilar', 'Disasi', 'Badiashile', 'Ballo-Toure', 'Tchouameni', 'Fofana', 'Golovin', 'Martins', 'Ben Yedder', 'Onyekuru']","['Rajkovic', 'Foket', 'Faes', 'Abdelhamid', 'Konan', 'Munetsi', 'Chavalerin', 'Kutesa', 'Toure', 'Cafaro', 'Dia']",4 - 3 - 3,4 - 2 - 3 - 1
4,Nimes,Brest,1,4,0,7.5,6.2,2.25,3.20,3.40,47%,53%,12,10,"['Reynet', 'Ripart', 'Landre', 'Martinez', 'Meling', 'Deaux', 'Cubas', 'Ferhat', 'Benrahou', 'Philippoteaux', 'Denkey']","['Larsonneur', 'Pierre-Gabriel', 'Chardonnet', 'Duverne', 'Faussurier', 'Diallo', 'Belkebla', 'Honorat', 'Faivre', 'Le Douaron', 'Cardona']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
5,Lorient,Strasbourg,1,3,1,6.9,6.4,2.40,3.10,3.10,50%,50%,10,7,"['Nardi', 'Mendes', 'Laporte', 'Morel', 'Le Goff', 'Le Fee', 'Lemoine', 'Diarra', 'Boisgard', 'Wissa', 'Grbic']","['Kawashima', 'Simakan', 'Kone', 'Mitrovic', 'Carole', 'Sissoko', 'Prcic', 'Lala', 'Thomasson', 'Chahiri', 'Ajorque']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
6,Nice,Lens,1,2,1,7.0,6.4,2.00,3.30,3.90,55%,45%,4,17,"['Benitez', 'Lotomba', 'Robson Bambu', 'Dante', 'Kamara', 'Thuram', 'Schneiderlin', 'Lees-Melou', 'Claude-Maurice', 'Dolberg', 'Gouiri']","['Leca', 'Gradit', 'Bade', 'Medina', 'Michelin', 'Cahuzac', 'Doucoure', 'Boura', 'Kakuta', 'Sotoca', 'Ganago']",4 - 3 - 3,3 - 4 - 1 - 2
7,Lyon,Dijon,1,4,1,7.6,6.4,1.25,5.50,12.00,64%,36%,27,6,"['Lopes', 'Denayer', 'Marcelo', 'Marcal', 'Dubois', 'Caqueret', 'Guimaraes', 'Cornet', 'Depay', 'Toko Ekambi', 'Dembele']","['Gomis', 'Ngouyamsa Nounchil', 'Ecuele Manga', 'Lautoa', 'Chafik', 'Marie', 'Ndong', 'Amalfitano', 'Chouiar', 'Dina Ebimbe', 'Scheidler']",3 - 4 - 1 - 2,4 - 2 - 3 - 1
8,Rennes,Montpellier,1,2,1,7.1,6.4,1.80,3.50,4.50,67%,33%,16,11,"['Salin', 'Soppy', 'Da Silva', 'Aguerd', 'Maouassa', 'Camavinga', ""N'Zonzi"", 'Bourigeaud', 'Raphinha', 'Hunou', 'Terrier']","['Omlin', 'Mendes', 'Le Tallec', 'Congre', 'Souquet', 'Ferri', 'Chotard', 'Mollet', 'Ristic', 'Savanier', 'Laborde']",4 - 3 - 3,3 - 5 - 1 - 1
9,Strasbourg,Nice,2,0,2,6.1,7.2,2.05,3.50,3.50,44%,56%,6,3,"['Kawashima', 'Lala', 'Kone', 'Djiku', 'Carole', 'Simakan', 'Sissoko', 'Bellegarde', 'Thomasson', 'Chahiri', 'Ajorque']","['Benitez', 'Lotomba', 'Pelmard', 'Dante', 'Kamara', 'Thuram', 'Schneiderlin', 'Lees-Melou', 'Sylvestre', 'Dolberg', 'Gouiri']",4 - 2 - 3 - 1,4 - 3 - 3
