,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
335,Nantes,Bordeaux,1,5,3,7.3,6.4,2.15,3.60,3.30,56%,44%,15,20,"['Lafont', 'Corchia', 'Castelletto', 'Andrei Girotto', 'Merlin', 'Moutoussamy', 'Cyprien', 'Kolo Muani', 'Blas', 'Simon', 'Coulibaly']","['Costil', 'Guilavogui', 'Marcelo', 'Ahmedhodzic', 'Kwateng', 'Onana', 'Ignatenko', 'Mangas', 'Dilrosun', 'Hwang', 'Niang']",4 - 2 - 3 - 1,3 - 4 - 1 - 2
336,Metz,Brest,2,0,1,6.1,7.1,2.62,3.25,2.70,58%,42%,10,16,"['Oukidja', 'Mbengue', 'Kouyate', 'Jemerson', 'Mikelbrencis', ""N'Doram"", 'Traore', 'Sarr', 'Delaine', 'de Preville', 'Lamkel Ze']","['Bizot', 'Duverne', 'Chardonnet', 'Herelle', 'Uronen', 'Magnetti', 'Agoume', 'Mbock', 'Cardona', 'Mounie', 'Belaili']",3 - 5 - 2,4 - 3 - 3
337,Clermont,Angers,0,2,2,6.8,6.7,2.05,3.40,3.75,52%,48%,12,9,"['Djoco', 'Zedadka', 'Billong', 'Ogier', 'Mendy', 'Magnin', 'Gastien', 'Abdul Samed', 'Dossou', 'Khaoui', 'Kyei']","['Mandrea', 'Ebosse', 'Traore', 'Thomas', 'Bentaleb', 'Bamba', 'Capelle', 'Ounahi', 'Doumbia', 'Cho', 'Fulgini']",4 - 3 - 2 - 1,3 - 1 - 4 - 2
338,Lille,Strasbourg,1,1,0,7.2,6.6,2.70,3.20,2.70,46%,54%,11,11,"['Leo Jardim', 'Celik', 'Fonte', 'Botman', 'Gudmundsson', 'Zhegrova', 'Andre', 'Sanches', 'Weah', 'David', 'Yilmaz']","['Sels', 'Guilbert', 'Perrin', 'Nyamsi', 'Djiku', 'Caci', 'Thomasson', 'Prcic', 'Bellegarde', 'Ajorque', 'Gameiro']",4 - 4 - 2,5 - 3 - 2
339,Reims,Marseille,2,0,1,6.4,7.3,4.20,3.40,1.90,29%,71%,10,14,"['Rajkovic', 'Foket', 'Gravillon', 'Faes', 'Abdelhamid', 'Konan', 'Lopy', 'Matusiwa', 'Locko', 'van Bergen', 'Mbuku']","['Mandanda', 'Rongier', 'Saliba', 'Luan Peres', 'Kolasinac', 'Guendouzi', 'Kamara', 'Gueye', 'Under', 'Milik', 'Harit']",5 - 3 - 2,4 - 3 - 3
340,Strasbourg,PSG,0,3,3,6.6,6.9,,,2.05,43%,57%,14,14,"['Sels', 'Guilbert', 'Perrin', 'Nyamsi', 'Djiku', 'Lienard', 'Thomasson', 'Prcic', 'Bellegarde', 'Ajorque', 'Gameiro']","['Donnarumma', 'Marquinhos', 'Ramos', 'Kimpembe', 'Hakimi', 'Verratti', 'Pereira', 'Bernat', 'Messi', 'Neymar', 'Mbappe']",5 - 3 - 2,3 - 4 - 2 - 1
341,Lens,Nantes,0,2,2,6.9,6.9,1.61,4.20,5.00,53%,47%,20,13,"['Leca', 'Gradit', 'Wooh', 'Haidara', 'Clauss', 'Doucoure', 'Fofana', 'Frankowski', 'Sotoca', 'Pereira da Costa', 'Ganago']","['Lafont', 'Sylla', 'Appiah', 'Pallois', 'Coco', 'Moutoussamy', 'Cyprien', 'Chirivella', 'Merlin', 'Kolo Muani', 'Simon']",3 - 4 - 2 - 1,3 - 5 - 2
342,Rennes,St Etienne,1,2,0,7.4,6.2,1.33,5.50,7.50,73%,27%,13,8,"['Alemdar', 'Traore', 'Omari', 'Santamaria', 'Truffert', 'Majer', 'Martin', 'Tait', 'Bourigeaud', 'Laborde', 'Terrier']","['Bernardoni', 'Macon', 'Mangala', 'Moukoudi', 'Nade', 'Trauco', 'Bouanga', 'Camara', 'Gourna-Douath', 'Aouchiche', 'Nordin']",4 - 3 - 3,5 - 4 - 1
343,Troyes,Lille,1,3,0,7.3,5.9,3.40,3.40,2.20,38%,62%,9,9,"['Moulin', 'Kabore', 'Biancone', 'Palmer-Brown', 'Kone', 'Chavalerin', 'Ripart', 'Kouame', 'Tardieu', 'Dingome', 'Ugbo']","['Leo Jardim', 'Celik', 'Fonte', 'Botman', 'Gudmundsson', 'Zhegrova', 'Andre', 'Sanches', 'Weah', 'David', 'Yilmaz']",5 - 4 - 1,4 - 4 - 2
344,Montpellier,Metz,0,2,2,7.0,7.4,1.75,4.00,4.20,51%,49%,18,17,"['Bertaud', 'Cozza', 'Sakho', 'Esteve', 'Leroy', 'Souquet', 'Mollet', 'Cabella', 'Oyongo', 'Mavididi', 'Wahi']","['Caillard', 'Lacroix', 'Kouyate', 'Niakate', 'Centonze', 'Traore', 'Pajot', 'Sarr', 'Delaine', 'de Preville', 'Lamkel Ze']",3 - 1 - 4 - 2,3 - 5 - 2
345,Monaco,Angers,1,2,0,7.3,6.5,1.33,5.25,9.00,43%,57%,15,11,"['Nubel', 'Aguilar', 'Maripan', 'Badiashile', 'Caio Henrique', 'Fofana', 'Matazo', 'Diop', 'Volland', 'Golovin', 'Ben Yedder']","['Mandrea', 'Ebosse', 'Traore', 'Thomas', 'Bentaleb', 'Bamba', 'Ounahi', 'Mendy', 'Doumbia', 'Jakolis', 'Fulgini']",4 - 2 - 3 - 1,3 - 1 - 4 - 2
346,Lorient,Reims,2,1,2,6.7,7.3,2.20,3.20,3.50,52%,48%,20,12,"['Dreyer', 'Mendes', 'Laporte', 'Petrot', 'Le Goff', 'Abergel', 'Innocent', 'Monconduit', 'Le Fee', 'Moffi', 'Lauriente']","['Rajkovic', 'Foket', 'Gravillon', 'Faes', 'Abdelhamid', 'Locko', 'Kebbal', 'Matusiwa', 'Lopy', 'Zeneli', 'Toure']",4 - 3 - 3,5 - 3 - 2
347,Brest,Clermont,1,2,0,7.4,6.5,2.75,3.30,2.60,42%,58%,8,16,"['Bizot', 'Pierre-Gabriel', 'Chardonnet', 'Herelle', 'Brassier', 'Del Castillo', 'Belkebla', 'Lasne', 'Belaili', 'Mounie', 'Satriano']","['Djoco', 'Zedadka', 'Billong', 'Ogier', 'Nsimba', 'Magnin', 'Gastien', 'Dossou', 'Da Cunha', 'Rashani', 'Bayo']",4 - 4 - 2,4 - 2 - 3 - 1
348,Bordeaux,Nice,2,0,1,6.6,7.1,3.10,3.50,2.20,44%,56%,5,14,"['Costil', 'Guilavogui', 'Marcelo', 'Ahmedhodzic', 'Lacoux', 'Onana', 'Adli', 'Mensah', 'Dilrosun', 'Niang', 'Hwang']","['Benitez', 'Daniliuc', 'Todibo', 'Dante', 'Bard', 'Boudaoui', 'Rosario', 'Thuram', 'Kluivert', 'Dolberg', 'Delort']",3 - 4 - 1 - 2,4 - 4 - 2
349,Marseille,Lyon,2,0,3,6.4,7.2,2.37,3.60,2.80,63%,37%,9,12,"['Lopez', 'Lirola', 'Saliba', 'Caleta-Car', 'Kolasinac', 'Gerson', 'Kamara', 'Gueye', 'Under', 'Milik', 'Payet']","['Lopes', 'Gusto', 'Boateng', 'Lukeba', 'Emerson', 'Thiago Mendes', 'Aouar', 'Barcola', 'Paqueta', 'Toko Ekambi', 'Dembele']",4 - 3 - 3,4 - 2 - 3 - 1
350,Lille,Monaco,2,1,2,6.5,7.4,3.75,3.60,1.95,51%,49%,15,9,"['Leo Jardim', 'Celik', 'Fonte', 'Botman', 'Djalo', 'Bamba', 'Andre', 'Onana', 'Gudmundsson', 'David', 'Weah']","['Nubel', 'Aguilar', 'Maripan', 'Badiashile', 'Caio Henrique', 'Fofana', 'Tchouameni', 'Vanderson', 'Volland', 'Golovin', 'Ben Yedder']",4 - 4 - 2,4 - 2 - 3 - 1
351,Brest,Strasbourg,2,0,1,6.8,7.1,3.80,3.60,1.90,45%,55%,7,14,"['Bizot', 'Pierre-Gabriel', 'Chardonnet', 'Herelle', 'Duverne', 'Honorat', 'Belkebla', 'Lasne', 'Belaili', 'Mounie', 'Satriano']","['Sels', 'Fila', 'Caci', 'Nyamsi', 'Le Marchand', 'Lienard', 'Thomasson', 'Prcic', 'Bellegarde', 'Diallo', 'Gameiro']",4 - 4 - 2,5 - 3 - 2
352,Metz,Lyon,1,3,2,7.3,6.6,8.00,6.00,1.30,36%,64%,15,17,"['Caillard', 'Lacroix', 'Kouyate', 'Niakate', 'Mikelbrencis', 'Pajot', 'Traore', 'Sarr', 'Delaine', 'Lamkel Ze', 'de Preville']","['Lopes', 'Gusto', 'Boateng', 'Lukeba', 'Emerson', 'Thiago Mendes', 'Aouar', 'Tete', 'Paqueta', 'Toko Ekambi', 'Dembele']",3 - 5 - 2,4 - 2 - 3 - 1
353,Reims,Lens,2,1,2,6.7,7.3,3.25,3.40,2.25,39%,61%,7,21,"['Rajkovic', 'Gravillon', 'Faes', 'Abdelhamid', 'Foket', 'Munetsi', 'Matusiwa', 'Lopy', 'Locko', 'Zeneli', 'Toure']","['Farinez', 'Gradit', 'Danso', 'Medina', 'Clauss', 'Doucoure', 'Fofana', 'Frankowski', 'Sotoca', 'Pereira da Costa', 'Kalimuendo']",3 - 5 - 2,3 - 4 - 2 - 1
