,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
29,Barcelona,Alaves,0,1,1,7.1,6.9,1.22,6.50,12.00,79%,21%,16,3,"['ter Stegen', 'Mingueza', 'Pique', 'Garcia', 'Alba', 'Gavi', 'Busquets', 'Nico', 'Dest', 'Aguero', 'Depay']","['Sivera', 'Navarro', 'Laguardia', 'Lejeune', 'Duarte', 'Loum', 'Moya', 'Mendez', 'Pons', 'Rioja', 'Joselu']",4 - 3 - 3,4 - 2 - 3 - 1
30,Cadiz CF,Mallorca,0,1,1,7.0,7.0,2.75,2.95,2.95,43%,57%,13,11,"['Ledesma', 'Carcelen', 'Cala', 'Fali', 'Pacha', 'Chapela', 'Jonsson', 'Fernandez', 'Perea', 'Lozano', 'Sobrino']","['Reina', 'Maffeo', 'Valjent', 'Russo', 'Olivan', 'Sevilla', 'Baba', 'Rodriguez', 'Lee', 'Rodriguez', 'Ndiaye']",4 - 4 - 2,4 - 3 - 3
31,Atl. Madrid,Betis,1,3,0,7.2,6.4,1.52,4.20,7.00,47%,53%,18,8,"['Oblak', 'Savic', 'Gimenez', 'Hermoso', 'Trippier', 'Koke', 'de Paul', 'Carrasco', 'Correa', 'Griezmann', 'Suarez']","['Bravo', 'Montoya', 'Pezzella', 'Gonzalez', 'Moreno', 'Carvalho', 'Guardado', 'Rodri', 'Canales', 'Juanmi', 'Willian Jose']",3 - 4 - 2 - 1,4 - 2 - 3 - 1
32,Getafe,Espanyol,1,2,1,7.2,6.5,2.60,2.95,3.20,44%,56%,12,10,"['Soria', 'Nyom', 'Mitrovic', 'Djene', 'Akurugu', 'Suarez', 'Maksimovic', 'Arambarri', 'Alena', 'Poveda', 'Unal']","['Lopez', 'Vidal', 'Gomez', 'Cabrera', 'Pedrosa', 'Morlanes', 'Darder', 'Embarba', 'Melendo', 'Melamed', 'Dimata']",4 - 4 - 2,4 - 2 - 3 - 1
33,Real Sociedad,Ath Bilbao,0,1,1,7.1,6.8,2.10,3.20,3.95,54%,46%,8,11,"['Remiro', 'Gorosabel', 'Elustondo', 'Le Normand', 'Rico', 'Zubimendi', 'Merino', 'Isak', 'Silva', 'Januzaj', 'Sorloth']","['Simon', 'de Marcos', 'Alvarez', 'Martinez', 'Lekue', 'Berenguer', 'Vencedor', 'Garcia', 'Muniain', 'Garcia', 'Williams']",4 - 2 - 3 - 1,4 - 4 - 2
34,Rayo Vallecano,Celta Vigo,0,0,0,7.1,7.0,,3.20,3.35,53%,47%,11,10,"['Dimitrievski', 'Garcia', 'Catena', 'Maras', 'Balliu', 'Comesana', 'Lopez', 'Palazon', 'Valentin', 'Garcia', 'Falcao']","['Dituro', 'Araujo', 'Murillo', 'Vazquez', 'Galan', 'Mendez', 'Suarez', 'Beltran', 'Tapia', 'Mina', 'Thiago Galhardo']",4 - 2 - 3 - 1,4 - 1 - 3 - 2
35,Levante,Granada CF,2,0,3,6.3,7.3,2.08,3.25,3.95,48%,52%,12,12,"['Fernandez', 'Vezo', 'Duarte', 'Clerc', 'Malsa', 'de Frutos', 'Martinez Andres', 'Bardhi', 'Franquesa', 'Soldado', 'Morales']","['Maximiano', 'Quini', 'Diaz', 'Sanchez', 'Neva', 'Rochina', 'Milla', 'Montoro', 'Soro', 'Molina', 'Suarez']",3 - 1 - 4 - 2,4 - 4 - 2
36,Ath Bilbao,Cadiz CF,2,0,1,6.8,7.5,1.40,4.60,9.50,70%,30%,15,8,"['Simon', 'Lekue', 'Nunez', 'Alvarez', 'Balenziaga', 'Berenguer', 'Garcia', 'Vesga', 'Muniain', 'Williams', 'Sancet']","['Ledesma', 'Carcelen', 'Haroyan', 'Cala', 'Pacha', 'Sanchez', 'Jonsson', 'Fernandez', 'Perea', 'Lozano', 'Sobrino']",4 - 4 - 2,4 - 4 - 2
37,Espanyol,Granada CF,1,2,0,7.4,6.5,1.87,3.50,4.60,43%,57%,17,18,"['Lopez', 'Vidal', 'Gomez', 'Cabrera', 'Pedrosa', 'Bare', 'Embarba', 'Herrera', 'Darder', 'Puado', 'de Tomas']","['Maximiano', 'Quini', 'Diaz', 'Sanchez', 'Neva', 'Rochina', 'Monchu', 'Montoro', 'Soro', 'Suarez', 'Molina']",4 - 1 - 4 - 1,4 - 4 - 2
38,Celta Vigo,Barcelona,0,3,3,6.7,7.1,3.70,3.60,2.04,52%,48%,18,10,"['Dituro', 'Mallo', 'Aidoo', 'Murillo', 'Galan', 'Tapia', 'Solari', 'Suarez', 'Nolito', 'Aspas', 'Thiago Galhardo']","['ter Stegen', 'Mingueza', 'Garcia', 'Lenglet', 'Alba', 'Nico', 'Busquets', 'de Jong', 'Gavi', 'Depay', 'Fati']",4 - 1 - 3 - 2,4 - 3 - 3
39,Alaves,Levante,1,2,1,7.1,6.4,2.35,3.10,3.40,61%,39%,10,12,"['Pacheco', 'Aguirregabiria', 'Laguardia', 'Lejeune', 'Duarte', 'Moya', 'Loum', 'Pons', 'Pellistri', 'Joselu', 'Rioja']","['Cardenas', 'Son', 'Duarte', 'Vezo', 'Franquesa', 'Bardhi', 'Malsa', 'Campana', 'de Frutos', 'Soldado', 'Morales']",4 - 3 - 3,4 - 3 - 3
40,Real Madrid,Rayo Vallecano,1,2,1,7.4,6.7,1.37,5.30,8.50,55%,45%,15,19,"['Courtois', 'Carvajal', 'Militao', 'Alaba', 'Mendy', 'Camavinga', 'Casemiro', 'Kroos', 'Asensio', 'Benzema', 'Vinicius Junior']","['Dimitrievski', 'Balliu', 'Saveljich', 'Catena', 'Garcia', 'Comesana', 'Valentin', 'Palazon', 'Trejo', 'Garcia', 'Nteka']",4 - 3 - 3,4 - 2 - 3 - 1
41,Villarreal,Getafe,1,1,0,7.4,6.6,1.49,4.25,7.50,67%,33%,10,5,"['Rulli', 'Aurier', 'Albiol', 'Torres', 'Estupinan', 'Trigueros', 'Capoue', 'Parejo', 'Coquelin', 'Alcacer', 'Danjuma']","['Soria', 'Mitrovic', 'Djene', 'Cuenca', 'Nyom', 'Arambarri', 'Maksimovic', 'Olivera', 'Alena', 'Poveda', 'Unal']",4 - 4 - 2,3 - 4 - 1 - 2
42,Valencia,Atl. Madrid,0,3,3,6.7,6.8,4.80,3.30,1.89,48%,52%,11,13,"['Cillessen', 'Foulquier', 'Diakhaby', 'Alderete', 'Gaya', 'Soler', 'Wass', 'Guillamon', 'Racic', 'Costa', 'Guedes']","['Oblak', 'Trippier', 'Savic', 'Gimenez', 'Hermoso', 'Carrasco', 'de Paul', 'Koke', 'Correa', 'Suarez', 'Griezmann']",4 - 5 - 1,5 - 2 - 3
43,Osasuna,Real Sociedad,2,0,2,6.5,7.3,3.30,3.25,2.33,43%,57%,6,9,"['Herrera', 'Vidal', 'Garcia', 'Garcia', 'Sanchez', 'Torro', 'Moncayola', 'Brasanac', 'Barja', 'Garcia', 'Garcia']","['Remiro', 'Zaldua', 'Elustondo', 'Le Normand', 'Rico', 'Merino', 'Zubimendi', 'Silva', 'Barrenetxea', 'Isak', 'Januzaj']",4 - 3 - 3,4 - 3 - 3
44,Mallorca,Elche,0,2,2,6.9,6.8,2.14,3.05,4.20,51%,49%,18,7,"['Reina', 'Maffeo', 'Valjent', 'Russo', 'Costa', 'Baba', 'Sevilla', 'Sanchez', 'Lee', 'Rodriguez', 'Rodriguez']","['Badia', 'Barragan', 'Roco', 'Bigas', 'Mojica', 'Pastore', 'Mascarell', 'Gumbau', 'Fidel', 'Boye', 'Perez']",4 - 2 - 3 - 1,4 - 4 - 2
45,Betis,Sevilla,2,0,2,6.1,7.2,3.00,3.25,2.55,26%,74%,8,11,"['Bravo', 'Bellerin', 'Pezzella', 'Gonzalez', 'Moreno', 'Rodriguez', 'Guardado', 'Canales', 'Fekir', 'Rodri', 'Willian Jose']","['Bono', 'Montiel', 'Kounde', 'Diego Carlos', 'Acuna', 'Joan Jordan', 'Fernando', 'Rakitic', 'Lamela', 'Mir', 'Ocampos']",4 - 2 - 3 - 1,4 - 3 - 3
46,Levante,Ath Bilbao,0,0,0,7.2,7.0,,,,49%,51%,15,7,"['Cardenas', 'Son', 'Mustafi', 'Vezo', 'Clerc', 'Campana', 'Malsa', 'Bardhi', 'de Frutos', 'Marti', 'Morales']","['Simon', 'Lekue', 'Alvarez', 'Martinez', 'Balenziaga', 'Berenguer', 'Garcia', 'Vencedor', 'Muniain', 'Garcia', 'Williams']",4 - 3 - 3,4 - 4 - 2
47,Celta Vigo,Villarreal,0,1,1,7.1,7.1,2.37,3.20,3.10,57%,43%,12,18,"['Dituro', 'Vazquez', 'Aidoo', 'Murillo', 'Galan', 'Beltran', 'Mendez', 'Suarez', 'Nolito', 'Aspas', 'Mina']","['Rulli', 'Foyth', 'Albiol', 'Torres', 'Pedraza', 'Pena', 'Iborra', 'Parejo', 'Moreno', 'Trigueros', 'Dia']",4 - 1 - 3 - 2,4 - 1 - 4 - 1
