,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Bayern Munich,Hertha Berlin,0,2,2,7.1,7.0,1.14,8.00,15.00,71%,29%,17,6,"['Neuer', 'Kimmich', 'Sule', 'Pavard', 'Alaba', 'Thiago', 'Muller', 'Tolisso', 'Gnabry', 'Lewandowski', 'Coman']","['Jarstein', 'Klunter', 'Stark', 'Rekik', 'Leckie', 'Grujic', 'Darida', 'Mittelstadt', 'Duda', 'Lukebakio', 'Ibisevic']",4 - 1 - 2 - 3,3 - 4 - 1 - 2
1,Wolfsburg,FC Koln,1,2,1,7.3,6.5,2.05,3.40,3.60,47%,53%,14,11,"['Casteels', 'Knoche', 'Guilavogui', 'Brooks', 'William Furtado', 'Schlager', 'Arnold', 'Roussillon', 'Klaus', 'Weghorst', 'Victor Sa']","['Horn', 'Ehizibue', 'Mere', 'Czichos', 'Hector', 'Hoger', 'Verstraete', 'Schindler', 'Drexler', 'Kainz', 'Modeste']",3 - 4 - 3,4 - 2 - 3 - 1
2,Werder Bremen,Dusseldorf,2,1,3,6.6,7.5,1.66,4.20,4.50,67%,33%,23,12,"['Pavlenka', 'Gebre Selassie', 'Toprak', 'Moisander', 'Friedl', 'Eggestein', 'Sahin', 'Klaassen', 'Eggestein', 'Osako', 'Rashica']","['Steffen', 'Zimmermann', 'Ayhan', 'Hoffmann', 'Giesselmann', 'Thommy', 'Morales', 'Baker', 'Suttner', 'Karaman', 'Hennings']",4 - 3 - 3,4 - 4 - 2
3,Freiburg,Mainz,1,3,0,7.7,6.6,2.55,3.30,2.70,53%,47%,19,19,"['Schwolow', 'Lienhart', 'Koch', 'Schlotterbeck', 'Schmid', 'Gondorf', 'Hofler', 'Gunter', 'Waldschmidt', 'Borrello', 'Petersen']","['Muller', 'Brosinski', 'St. Juste', 'Niakhate', 'Martin', 'Baku', 'Fernandes', 'Latza', 'Boetius', 'Onisiwo', 'Quaison']",3 - 4 - 3,4 - 3 - 1 - 2
4,Dortmund,Augsburg,1,5,1,7.6,6.2,1.12,8.00,26.00,78%,22%,23,5,"['Hitz', 'Piszczek', 'Akanji', 'Hummels', 'Schulz', 'Weigl', 'Witsel', 'Sancho', 'Reus', 'Hazard', 'Alcacer']","['Koubek', 'Teigl', 'Suchy', 'Khedira', 'Pedersen', 'Gruezo', 'Baier', 'Hahn', 'Gregoritsch', 'Vargas', 'Niederlechner']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
5,Bayer Leverkusen,Paderborn,1,3,2,7.4,6.5,1.22,6.50,11.00,74%,26%,13,11,"['Hradecky', 'Bender', 'Tah', 'Bender', 'Wendell', 'Aranguiz', 'Baumgartlinger', 'Demirbay', 'Havertz', 'Volland', 'Bailey']","['Huth', 'Drager', 'Strohdiek', 'Hunemeier', 'Collins', 'Gjasula', 'Vasiliadis', 'Proger', 'Antwi-Adjei', 'Mamba', 'Michel']",4 - 2 - 1 - 3,4 - 2 - 2 - 2
6,B. Monchengladbach,Schalke,0,0,0,7.1,7.2,2.15,3.60,3.20,60%,40%,16,8,"['Sommer', 'Lainer', 'Ginter', 'Elvedi', 'Wendt', 'Zakaria', 'Benes', 'Neuhaus', 'Embolo', 'Thuram', 'Plea']","['Nubel', 'Kenny', 'Stambouli', 'Nastasic', 'Oczipka', 'McKennie', 'Mascarell', 'Caligiuri', 'Harit', 'Raman', 'Burgstaller']",4 - 1 - 2 - 1 - 2,4 - 2 - 3 - 1
7,Eintracht Frankfurt,Hoffenheim,1,1,0,7.2,6.9,2.05,3.75,3.30,31%,69%,17,10,"['Trapp', 'Abraham', 'Hasebe', 'Hinteregger', 'da Costa', 'Kohr', 'Fernandes', 'Kostic', 'Kamada', 'Gacinovic', 'Rebic']","['Baumann', 'Posch', 'Vogt', 'Bicakcic', 'Kaderabek', 'Rudy', 'Rupp', 'Zuber', 'Geiger', 'Bebou', 'Skov']",3 - 4 - 2 - 1,3 - 4 - 1 - 2
8,Union Berlin,RB Leipzig,2,0,4,6.2,7.6,,,1.72,36%,64%,13,14,"['Gikiewicz', 'Trimmel', 'Friedrich', 'Schlotterbeck', 'Lenz', 'Promel', 'Andrich', 'Abdullahi', 'Gentner', 'Bulter', 'Andersson']","['Gulacsi', 'Mukiele', 'Konate', 'Orban', 'Klostermann', 'Demme', 'Kampl', 'Halstenberg', 'Sabitzer', 'Poulsen', 'Werner']",4 - 2 - 3 - 1,3 - 4 - 3
9,FC Koln,Dortmund,2,1,3,6.4,7.3,,,,,74%,13,14,"['Horn', 'Ehizibue', 'Bornauw', 'Czichos', 'Hector', 'Verstraete', 'Schindler', 'Skhiri', 'Drexler', 'Modeste', 'Cordoba']","['Burki', 'Piszczek', 'Akanji', 'Hummels', 'Schulz', 'Weigl', 'Witsel', 'Sancho', 'Reus', 'Hazard', 'Alcacer']",4 - 1 - 3 - 2,4 - 2 - 3 - 1
10,Paderborn,Freiburg,2,1,3,6.3,7.2,,3.75,2.75,54%,46%,15,9,"['Huth', 'Drager', 'Strohdiek', 'Hunemeier', 'Collins', 'Vasiliadis', 'Gjasula', 'Cauly', 'Antwi-Adjei', 'Mamba', 'Michel']","['Schwolow', 'Lienhart', 'Koch', 'Schlotterbeck', 'Schmid', 'Gondorf', 'Hofler', 'Gunter', 'Borrello', 'Waldschmidt', 'Petersen']",4 - 2 - 2 - 2,3 - 4 - 1 - 2
