,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
13,Crystal Palace,Brentford,0,0,0,7.1,7.1,2.60,3.20,2.80,53%,47%,7,14,"['Guaita', 'Ward', 'Andersen', 'Guehi', 'Mitchell', 'Gallagher', 'Kouyate', 'McArthur', 'Zaha', 'Benteke', 'Schlupp']","['Raya', 'Ajer', 'Jansson', 'Pinnock', 'Canos', 'Onyeka', 'Norgaard', 'Janelt', 'Henry', 'Mbeumo', 'Toney']",4 - 3 - 3,3 - 5 - 2
14,Aston Villa,Newcastle,1,2,0,7.2,6.2,1.80,3.80,4.33,47%,53%,10,9,"['Martinez', 'Cash', 'Konsa', 'Mings', 'Young', 'McGinn', 'Douglas Luiz', 'Ramsey', 'Buendia', 'Ings', 'El Ghazi']","['Woodman', 'Murphy', 'Schar', 'Lascelles', 'Fernandez', 'Ritchie', 'Willock', 'Hayden', 'Almiron', 'Wilson', 'Saint-Maximin']",4 - 3 - 3,5 - 3 - 2
15,Brighton,Watford,1,2,0,7.3,6.5,1.70,3.60,5.25,57%,43%,13,10,"['Sanchez', 'Webster', 'Duffy', 'Dunk', 'Gross', 'Lallana', 'Bissouma', 'March', 'Trossard', 'Mac Allister', 'Maupay']","['Bachmann', 'Cathcart', 'Troost-Ekong', 'Kabasele', 'Masina', 'Etebo', 'Sarr', 'Cleverley', 'Louza', 'Sema', 'Dennis']",3 - 4 - 2 - 1,4 - 1 - 4 - 1
16,Wolves,Tottenham,2,0,1,7.0,7.4,2.80,3.10,2.62,58%,42%,25,8,"['Sa', 'Kilman', 'Coady', 'Saiss', 'Semedo', 'Neves', 'Moutinho', 'Marcal', 'Trincao', 'Jimenez', 'Traore']","['Lloris', 'Tanganga', 'Sanchez', 'Dier', 'Reguilon', 'Hojbjerg', 'Skipp', 'Alli', 'Lucas Moura', 'Son', 'Bergwijn']",3 - 4 - 3,4 - 3 - 3
17,Southampton,Manchester Utd,0,1,1,7.0,7.0,5.25,4.33,1.60,36%,64%,8,15,"['McCarthy', 'Livramento', 'Stephens', 'Salisu', 'Perraud', 'Walcott', 'Romeu', 'Ward-Prowse', 'Djenepo', 'Adams', 'Armstrong']","['de Gea', 'Wan-Bissaka', 'Lindelof', 'Maguire', 'Shaw', 'Fred', 'Matic', 'Greenwood', 'Fernandes', 'Pogba', 'Martial']",4 - 4 - 2,4 - 2 - 3 - 1
18,Arsenal,Chelsea,2,0,2,6.4,7.5,,,,,65%,,22,"['Leno', 'Cedric', 'Holding', 'Mari', 'Tierney', 'Lokonga', 'Xhaka', 'Pepe', 'Smith Rowe', 'Saka', 'Martinelli']","['Mendy', 'Azpilicueta', 'Christensen', 'Rudiger', 'James', 'Jorginho', 'Kovacic', 'Alonso', 'Mount', 'Havertz', 'Lukaku']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
19,West Ham,Leicester,1,4,1,7.5,6.1,,,2.90,51%,49%,19,5,"['Fabianski', 'Coufal', 'Dawson', 'Ogbonna', 'Cresswell', 'Soucek', 'Rice', 'Bowen', 'Fornals', 'Benrahma', 'Antonio']","['Schmeichel', 'Pereira', 'Amartey', 'Soyuncu', 'Thomas', 'Tielemans', 'Ndidi', 'Perez', 'Maddison', 'Barnes', 'Vardy']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
20,Manchester City,Arsenal,1,5,0,7.6,5.7,1.33,5.25,9.00,81%,19%,25,1,"['Ederson', 'Walker', 'Dias', 'Laporte', 'Cancelo', 'Silva', 'Rodri', 'Gundogan', 'Gabriel Jesus', 'Torres', 'Grealish']","['Leno', 'Cedric', 'Chambers', 'Holding', 'Kolasinac', 'Tierney', 'Saka', 'Odegaard', 'Xhaka', 'Smith Rowe', 'Aubameyang']",4 - 3 - 3,5 - 4 - 1
21,West Ham,Crystal Palace,0,2,2,7.0,7.3,1.53,4.00,6.50,46%,54%,14,9,"['Fabianski', 'Coufal', 'Dawson', 'Ogbonna', 'Cresswell', 'Soucek', 'Rice', 'Bowen', 'Fornals', 'Benrahma', 'Antonio']","['Guaita', 'Ward', 'Andersen', 'Guehi', 'Mitchell', 'Gallagher', 'Kouyate', 'McArthur', 'Zaha', 'Benteke', 'Ayew']",4 - 2 - 3 - 1,4 - 3 - 3
22,Norwich,Leicester,2,1,2,6.6,7.2,,,,,,,,"['Krul', 'Aarons', 'Hanley', 'Gibson', 'Williams', 'Lees-Melou', 'Gilmour', 'McLean', 'Cantwell', 'Pukki', 'Rashica']","['Schmeichel', 'Pereira', 'Amartey', 'Soyuncu', 'Thomas', 'Albrighton', 'Ndidi', 'Tielemans', 'Barnes', 'Vardy', 'Maddison']",4 - 3 - 3,4 - 4 - 2
