,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
337,Fiorentina,Sassuolo,1,5,1,7.5,6.1,1.55,4.00,6.00,3.54,0.36,67%,33%,"['Christensen', 'Kayode', 'Martinez Quarta', 'Ranieri', 'Parisi', 'Arthur Melo', 'Duncan', 'Ikone', 'Barak', 'Sottil', 'Kouame']","['Consigli', 'Tressoldi', 'Ferrari', 'Kumbulla', 'Viti', 'Volpato', 'Obiang', 'Boloca', 'Doig', 'Thorstvedt', 'Pinamonti']",4 - 2 - 3 - 1,4 - 4 - 1 - 1
338,Genoa,Cagliari,1,3,0,7.5,6.2,2.15,3.20,3.75,1.08,0.94,63%,37%,"['Martinez', 'Vogliacco', 'De Winter', 'Vasquez', 'Sabelli', 'Thorsby', 'Badelj', 'Frendrup', 'Martin', 'Gudmundsson', 'Retegui']","['Scuffet', 'Hatzidiakos', 'Wieteska', 'Obert', 'Di Pardo', 'Deiola', 'Prati', 'Augello', 'Oristanio', 'Gaetano', 'Shomurodov']",3 - 5 - 2,3 - 4 - 2 - 1
339,Torino,Bologna,0,0,0,6.8,6.9,2.70,2.88,3.00,0.59,0.15,47%,53%,"['Milinkovic-Savic', 'Masina', 'Buongiorno', 'Rodriguez', 'Bellanova', 'Ricci', 'Ilic', 'Vojvoda', 'Vlasic', 'Sanabria', 'Zapata']","['Skorupski', 'Posch', 'Lucumi', 'Calafiori', 'Kristiansen', 'Aebischer', 'Freuler', 'Fabbian', 'Ndoye', 'Zirkzee', 'Saelemaekers']",3 - 4 - 1 - 2,4 - 3 - 3
340,Monza,Lazio,0,2,2,7.0,6.8,4.33,3.75,1.83,2.12,1.27,59%,41%,"['Di Gregorio', 'Birindelli', 'Izzo', 'Mari', 'Kyriakopoulos', 'Pessina', 'Bondo', 'Colpani', 'Carboni', 'Zerbin', 'Djuric']","['Mandas', 'Patric', 'Romagnoli', 'Hysaj', 'Marusic', 'Guendouzi', 'Kamada', 'Zaccagni', 'Felipe Anderson', 'Luis Alberto', 'Immobile']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
341,Sassuolo,Inter,1,1,0,7.0,6.6,,,1.50,0.27,0.94,24%,76%,"['Consigli', 'Erlic', 'Ferrari', 'Kumbulla', 'Toljan', 'Lipani', 'Matheus Henrique', 'Thorstvedt', 'Doig', 'Lauriente', 'Pinamonti']","['Audero', 'Pavard', 'de Vrij', 'Bastoni', 'Dumfries', 'Frattesi', 'Asllani', 'Mkhitaryan', 'Carlos Augusto', 'Martinez', 'Sanchez']",3 - 5 - 2,3 - 5 - 2
342,Cagliari,Lecce,0,1,1,6.9,6.8,2.10,3.20,3.75,0.85,1.94,34%,66%,"['Scuffet', 'Zappa', 'Mina', 'Dossena', 'Augello', 'Nandez', 'Makoumbou', 'Deiola', 'Luvumbo', 'Gaetano', 'Lapadula']","['Falcone', 'Gendrey', 'Baschirotto', 'Pongracic', 'Gallo', 'Oudin', 'Blin', 'Ramadani', 'Dorgu', 'Krstovic', 'Piccoli']",4 - 4 - 2,4 - 4 - 2
343,Verona,Fiorentina,1,2,1,7.0,6.6,,3.20,2.25,1.90,0.89,38%,62%,"['Montipo', 'Centonze', 'Magnani', 'Coppola', 'Vinagre', 'Serdar', 'Duda', 'Noslin', 'Folorunsho', 'Lazovic', 'Bonazzoli']","['Christensen', 'Faraoni', 'Milenkovic', 'Ranieri', 'Parisi', 'Lopez', 'Duncan', 'Ikone', 'Barak', 'Castrovilli', 'Nzola']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
344,Empoli,Frosinone,0,0,0,6.9,7.0,2.45,3.30,2.90,0.36,1.38,47%,53%,"['Caprile', 'Bereszynski', 'Ismajli', 'Luperto', 'Gyasi', 'Marin', 'Grassi', 'Pezzella', 'Fazzini', 'Cambiaghi', 'Niang']","['Cerofolini', 'Lirola', 'Romagnoli', 'Okoli', 'Zortea', 'Barrenechea', 'Mazzitelli', 'Valeri', 'Brescianini', 'Soule', 'Cheddira']",3 - 4 - 2 - 1,3 - 4 - 1 - 2
345,AC Milan,Genoa,0,3,3,7.1,6.8,1.40,5.00,7.00,2.52,0.95,60%,40%,"['Sportiello', 'Florenzi', 'Gabbia', 'Tomori', 'Hernandez', 'Bennacer', 'Reijnders', 'Chukwueze', 'Pulisic', 'Leao', 'Giroud']","['Martinez', 'Vogliacco', 'De Winter', 'Vasquez', 'Spence', 'Frendrup', 'Badelj', 'Thorsby', 'Martin', 'Retegui', 'Ekuban']",4 - 2 - 3 - 1,3 - 5 - 2
346,AS Roma,Juventus,0,1,1,7.2,7.3,2.80,3.25,2.60,2.00,1.16,61%,39%,"['Svilar', 'Kristensen', 'Ndicka', 'Llorente', 'Angelino', 'Cristante', 'Paredes', 'Pellegrini', 'Dybala', 'Baldanzi', 'Lukaku']","['Szczesny', 'Gatti', 'Bremer', 'Danilo', 'Weah', 'McKennie', 'Locatelli', 'Rabiot', 'Cambiaso', 'Vlahovic', 'Chiesa']",4 - 3 - 2 - 1,3 - 5 - 2
347,Salernitana,Atalanta,2,1,2,6.5,7.3,9.50,6.50,1.25,0.42,1.87,31%,69%,"['Fiorillo', 'Pasalidis', 'Fazio', 'Pirola', 'Sambia', 'Basic', 'Coulibaly', 'Bradaric', 'Tchaouna', 'Vignato', 'Ikwuemesi']","['Carnesecchi', 'Scalvini', 'Hien', 'de Roon', 'Hateboer', 'Ederson', 'Pasalic', 'Zappacosta', 'Miranchuk', 'Lookman', 'Scamacca']",3 - 4 - 2 - 1,3 - 4 - 2 - 1
348,Udinese,Napoli,0,1,1,6.7,7.1,,,,,,,,"['Okoye', 'Ferreira', 'Bijol', 'Kristensen', 'Ehizibue', 'Walace', 'Zarraga', 'Kamara', 'Samardzic', 'Brenner', 'Lucca']","['Meret', 'Di Lorenzo', 'Rrahmani', 'Ostigard', 'Olivera', 'Anguissa', 'Lobotka', 'Cajuste', 'Politano', 'Osimhen', 'Lindstrom']",3 - 4 - 2 - 1,4 - 3 - 3
349,Frosinone,Inter,2,0,5,6.2,7.6,4.00,4.00,1.80,1.35,1.82,41%,59%,"['Cerofolini', 'Lirola', 'Okoli', 'Bonifazi', 'Zortea', 'Mazzitelli', 'Brescianini', 'Valeri', 'Soule', 'Reinier', 'Cheddira']","['Sommer', 'Bisseck', 'de Vrij', 'Carlos Augusto', 'Darmian', 'Frattesi', 'Asllani', 'Barella', 'Dimarco', 'Thuram', 'Arnautovic']",3 - 4 - 2 - 1,3 - 5 - 2
350,Napoli,Bologna,2,0,2,6.5,7.5,1.91,3.40,4.33,1.55,1.33,60%,40%,"['Meret', 'Di Lorenzo', 'Rrahmani', 'Juan Jesus', 'Olivera', 'Anguissa', 'Lobotka', 'Cajuste', 'Politano', 'Osimhen', 'Kvaratskhelia']","['Ravaglia', 'Posch', 'Lucumi', 'Calafiori', 'Kristiansen', 'Aebischer', 'Freuler', 'Urbanski', 'Ndoye', 'Zirkzee', 'Odgaard']",4 - 3 - 3,4 - 3 - 3
351,AC Milan,Cagliari,1,5,1,7.4,6.3,1.60,4.33,5.25,3.30,1.42,66%,34%,"['Sportiello', 'Kalulu', 'Gabbia', 'Thiaw', 'Florenzi', 'Musah', 'Bennacer', 'Reijnders', 'Chukwueze', 'Giroud', 'Pulisic']","['Scuffet', 'Mina', 'Dossena', 'Obert', 'Zappa', 'Sulemana', 'Prati', 'Deiola', 'Nandez', 'Luvumbo', 'Shomurodov']",4 - 3 - 3,3 - 5 - 2
352,Lazio,Empoli,1,2,0,7.2,6.4,1.65,3.80,5.25,1.62,1.11,60%,40%,"['Mandas', 'Patric', 'Romagnoli', 'Hysaj', 'Marusic', 'Guendouzi', 'Kamada', 'Lazzari', 'Felipe Anderson', 'Zaccagni', 'Immobile']","['Caprile', 'Bereszynski', 'Ismajli', 'Luperto', 'Gyasi', 'Bastoni', 'Marin', 'Maleh', 'Pezzella', 'Caputo', 'Cancellieri']",3 - 4 - 2 - 1,3 - 5 - 2
353,Verona,Torino,2,1,2,6.5,7.0,3.10,2.90,2.55,1.12,0.48,43%,57%,"['Montipo', 'Centonze', 'Magnani', 'Coppola', 'Cabal', 'Dawidowicz', 'Duda', 'Lazovic', 'Serdar', 'Noslin', 'Bonazzoli']","['Milinkovic-Savic', 'Vojvoda', 'Lovato', 'Masina', 'Bellanova', 'Tameze', 'Ilic', 'Rodriguez', 'Ricci', 'Sanabria', 'Zapata']",4 - 2 - 3 - 1,3 - 4 - 1 - 2
354,Genoa,Sassuolo,1,2,1,7.1,6.4,,3.40,3.20,0.69,1.81,57%,43%,"['Martinez', 'Vogliacco', 'De Winter', 'Vasquez', 'Sabelli', 'Thorsby', 'Badelj', 'Frendrup', 'Martin', 'Retegui', 'Gudmundsson']","['Consigli', 'Erlic', 'Kumbulla', 'Ferrari', 'Toljan', 'Matheus Henrique', 'Obiang', 'Thorstvedt', 'Doig', 'Pinamonti', 'Lauriente']",3 - 5 - 2,3 - 5 - 2
355,Juventus,Salernitana,0,1,1,7.0,7.1,1.17,8.00,13.00,1.89,0.55,67%,33%,"['Szczesny', 'Gatti', 'Bremer', 'Rugani', 'Cambiaso', 'McKennie', 'Locatelli', 'Rabiot', 'Kostic', 'Vlahovic', 'Kean']","['Fiorillo', 'Pierozzi', 'Fazio', 'Pirola', 'Zanoli', 'Coulibaly', 'Basic', 'Sambia', 'Tchaouna', 'Vignato', 'Ikwuemesi']",3 - 5 - 2,3 - 4 - 2 - 1
356,Atalanta,AS Roma,1,2,1,7.3,6.6,1.83,3.80,4.00,3.12,1.36,58%,42%,"['Carnesecchi', 'de Roon', 'Hien', 'Djimsiti', 'Hateboer', 'Ederson', 'Pasalic', 'Ruggeri', 'De Ketelaere', 'Koopmeiners', 'Scamacca']","['Svilar', 'Kristensen', 'Mancini', 'Ndicka', 'Angelino', 'Cristante', 'Paredes', 'Pellegrini', 'Baldanzi', 'Lukaku', 'El Shaarawy']",3 - 4 - 2 - 1,4 - 3 - 3
357,Lecce,Udinese,2,0,2,6.3,7.3,3.10,3.00,2.55,0.35,1.73,65%,35%,"['Falcone', 'Gendrey', 'Baschirotto', 'Pongracic', 'Gallo', 'Blin', 'Ramadani', 'Almqvist', 'Rafia', 'Dorgu', 'Krstovic']","['Okoye', 'Perez', 'Bijol', 'Kristensen', 'Ehizibue', 'Walace', 'Payero', 'Kamara', 'Samardzic', 'Success', 'Lucca']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
358,Fiorentina,Monza,1,2,1,7.2,6.6,1.48,4.33,6.50,2.32,0.78,49%,51%,"['Terracciano', 'Kayode', 'Martinez Quarta', 'Milenkovic', 'Parisi', 'Arthur Melo', 'Mandragora', 'Gonzalez', 'Barak', 'Castrovilli', 'Nzola']","['Di Gregorio', 'Birindelli', 'Mari', 'Izzo', 'Kyriakopoulos', 'Bondo', 'Pessina', 'Mota', 'Colpani', 'Zerbin', 'Djuric']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
359,Fiorentina,Napoli,0,2,2,6.9,7.0,2.05,3.50,3.60,0.58,1.03,63%,37%,"['Terracciano', 'Dodo', 'Milenkovic', 'Martinez Quarta', 'Biraghi', 'Arthur Melo', 'Bonaventura', 'Gonzalez', 'Beltran', 'Kouame', 'Nzola']","['Meret', 'Mazzocchi', 'Ostigard', 'Rrahmani', 'Olivera', 'Anguissa', 'Lobotka', 'Cajuste', 'Politano', 'Simeone', 'Kvaratskhelia']",4 - 2 - 3 - 1,4 - 3 - 3
360,Lecce,Atalanta,2,0,2,6.7,7.4,3.60,3.60,2.00,1.21,1.71,44%,56%,"['Falcone', 'Gendrey', 'Baschirotto', 'Pongracic', 'Gallo', 'Gonzalez', 'Berisha', 'Ramadani', 'Dorgu', 'Krstovic', 'Piccoli']","['Musso', 'Toloi', 'Hien', 'Bonfanti', 'Hateboer', 'Pasalic', 'Scalvini', 'Zappacosta', 'Miranchuk', 'Toure', 'Scamacca']",4 - 4 - 2,3 - 4 - 1 - 2
361,Torino,AC Milan,1,3,1,7.5,6.3,2.50,3.10,3.10,0.95,1.88,40%,60%,"['Milinkovic-Savic', 'Tameze', 'Buongiorno', 'Masina', 'Bellanova', 'Linetty', 'Ilic', 'Rodriguez', 'Ricci', 'Zapata', 'Pellegri']","['Sportiello', 'Kalulu', 'Thiaw', 'Tomori', 'Terracciano', 'Musah', 'Bennacer', 'Reijnders', 'Pulisic', 'Jovic', 'Okafor']",3 - 4 - 1 - 2,4 - 3 - 3
362,Sassuolo,Cagliari,2,0,2,6.5,7.2,2.40,3.25,3.10,0.29,1.49,50%,50%,"['Consigli', 'Tressoldi', 'Erlic', 'Ferrari', 'Missori', 'Matheus Henrique', 'Racic', 'Thorstvedt', 'Doig', 'Lauriente', 'Pinamonti']","['Scuffet', 'Zappa', 'Mina', 'Dossena', 'Augello', 'Nandez', 'Sulemana', 'Deiola', 'Gaetano', 'Shomurodov', 'Lapadula']",3 - 5 - 2,4 - 3 - 1 - 2
363,Udinese,Empoli,0,1,1,7.0,6.6,1.91,3.30,4.33,1.88,0.96,47%,53%,"['Okoye', 'Perez', 'Bijol', 'Kristensen', 'Ehizibue', 'Walace', 'Payero', 'Kamara', 'Samardzic', 'Success', 'Lucca']","['Caprile', 'Bereszynski', 'Ismajli', 'Luperto', 'Gyasi', 'Bastoni', 'Grassi', 'Maleh', 'Pezzella', 'Cerri', 'Cancellieri']",3 - 4 - 2 - 1,3 - 5 - 2
364,Monza,Frosinone,2,0,1,6.6,7.2,3.00,3.50,2.30,0.86,1.79,71%,29%,"['Sorrentino', 'Birindelli', 'Izzo', 'Mari', 'Kyriakopoulos', 'Bondo', 'Gagliardini', 'Colpani', 'Pessina', 'Mota', 'Djuric']","['Cerofolini', 'Lirola', 'Romagnoli', 'Okoli', 'Zortea', 'Barrenechea', 'Brescianini', 'Valeri', 'Soule', 'Harroui', 'Cheddira']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
365,Inter,Lazio,0,1,1,7.1,7.1,1.55,4.50,5.25,1.66,0.63,58%,42%,"['Sommer', 'Pavard', 'Acerbi', 'Bastoni', 'Darmian', 'Barella', 'Calhanoglu', 'Mkhitaryan', 'Dimarco', 'Martinez', 'Thuram']","['Provedel', 'Patric', 'Casale', 'Gila', 'Marusic', 'Rovella', 'Vecino', 'Pellegrini', 'Kamada', 'Zaccagni', 'Castellanos']",3 - 5 - 2,3 - 4 - 2 - 1
366,AS Roma,Genoa,1,1,0,7.3,6.7,1.44,4.50,7.00,0.52,0.26,54%,46%,"['Svilar', 'Celik', 'Llorente', 'Ndicka', 'Angelino', 'Cristante', 'Paredes', 'Bove', 'Baldanzi', 'Pellegrini', 'Lukaku']","['Martinez', 'Vogliacco', 'De Winter', 'Vasquez', 'Spence', 'Frendrup', 'Badelj', 'Strootman', 'Martin', 'Ekuban', 'Retegui']",4 - 3 - 2 - 1,3 - 5 - 2
367,Salernitana,Verona,2,1,2,6.3,7.2,5.00,3.90,1.67,54%,46%,9,17,"['Fiorillo', 'Pierozzi', 'Fazio', 'Pirola', 'Sambia', 'Coulibaly', 'Basic', 'Zanoli', 'Tchaouna', 'Kastanos', 'Weissman']","['Montipo', 'Tchatchoua', 'Coppola', 'Dawidowicz', 'Cabal', 'Duda', 'Serdar', 'Suslov', 'Folorunsho', 'Lazovic', 'Noslin']",3 - 4 - 2 - 1,4 - 2 - 3 - 1
368,Bologna,Juventus,0,3,3,7.1,6.3,2.70,3.10,2.75,1.46,0.71,62%,38%,"['Skorupski', 'Posch', 'Calafiori', 'Lucumi', 'Kristiansen', 'Freuler', 'Ndoye', 'Aebischer', 'Urbanski', 'Odgaard', 'Castro']","['Szczesny', 'Gatti', 'Bremer', 'Danilo', 'Cambiaso', 'Miretti', 'Locatelli', 'Rabiot', 'Iling Junior', 'Vlahovic', 'Chiesa']",4 - 1 - 4 - 1,3 - 5 - 2
369,Cagliari,Fiorentina,2,2,3,6.4,6.9,4.75,3.90,1.70,1.50,1.20,37%,63%,"['Scuffet', 'Zappa', 'Mina', 'Obert', 'Augello', 'Deiola', 'Prati', 'Nandez', 'Viola', 'Luvumbo', 'Lapadula']","['Terracciano', 'Dodo', 'Milenkovic', 'Ranieri', 'Biraghi', 'Bonaventura', 'Mandragora', 'Ikone', 'Barak', 'Castrovilli', 'Belotti']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
370,Genoa,Bologna,1,2,0,7.2,6.4,2.90,3.10,2.60,1.34,0.85,27%,73%,"['Leali', 'Cittadini', 'Vogliacco', 'Vasquez', 'Sabelli', 'Malinovsky', 'Frendrup', 'Thorsby', 'Martin', 'Vitinha', 'Gudmundsson']","['Ravaglia', 'De Silvestri', 'Beukema', 'Lucumi', 'Lykogiannis', 'Moro', 'Orsolini', 'El Azzouzi', 'Fabbian', 'Saelemaekers', 'Castro']",3 - 5 - 2,4 - 1 - 4 - 1
371,Juventus,Monza,1,2,0,7.3,6.5,1.55,4.50,5.75,0.98,0.65,42%,58%,"['Perin', 'Danilo', 'Rugani', 'Alex Sandro', 'Weah', 'Fagioli', 'Alcaraz', 'Iling Junior', 'Chiesa', 'Milik', 'Yildiz']","['Sorrentino', ""D'Ambrosio"", 'Mari', 'Izzo', 'Birindelli', 'Gagliardini', 'Pessina', 'Pereira', 'Colpani', 'Carboni', 'Mota']",3 - 4 - 3,3 - 4 - 2 - 1
372,AC Milan,Salernitana,0,3,3,7.3,6.8,1.10,11.00,19.00,2.77,1.44,66%,34%,"['Mirante', 'Calabria', 'Gabbia', 'Tomori', 'Hernandez', 'Florenzi', 'Reijnders', 'Pulisic', 'Bennacer', 'Leao', 'Giroud']","['Fiorillo', 'Pierozzi', 'Gyomber', 'Pasalidis', 'Sambia', 'Maggiore', 'Coulibaly', 'Zanoli', 'Candreva', 'Kastanos', 'Tchaouna']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
373,Napoli,Lecce,0,0,0,7.2,7.0,1.36,5.50,7.50,1.59,0.41,67%,33%,"['Meret', 'Di Lorenzo', 'Ostigard', 'Juan Jesus', 'Olivera', 'Anguissa', 'Lobotka', 'Cajuste', 'Politano', 'Simeone', 'Kvaratskhelia']","['Falcone', 'Gendrey', 'Baschirotto', 'Pongracic', 'Gallo', 'Blin', 'Ramadani', 'Berisha', 'Almqvist', 'Krstovic', 'Dorgu']",4 - 3 - 3,4 - 3 - 3
374,Atalanta,Torino,1,3,0,7.4,6.4,2.35,3.70,2.80,2.15,0.85,40%,60%,"['Carnesecchi', 'Toloi', 'Djimsiti', 'Scalvini', 'Holm', 'Pasalic', 'Koopmeiners', 'Zappacosta', 'De Ketelaere', 'Lookman', 'Scamacca']","['Gemello', 'Tameze', 'Buongiorno', 'Masina', 'Bellanova', 'Linetty', 'Ilic', 'Vojvoda', 'Ricci', 'Pellegri', 'Zapata']",3 - 4 - 2 - 1,3 - 4 - 1 - 2
375,Verona,Inter,0,2,2,7.0,7.1,6.50,5.00,1.42,2.49,2.22,35%,65%,"['Perilli', 'Tchatchoua', 'Coppola', 'Cabal', 'Vinagre', 'Belahyane', 'Serdar', 'Lazovic', 'Suslov', 'Mitrovic', 'Noslin']","['Audero', 'Bisseck', 'Acerbi', 'Carlos Augusto', 'Dumfries', 'Frattesi', 'Calhanoglu', 'Barella', 'Dimarco', 'Arnautovic', 'Thuram']",4 - 2 - 3 - 1,3 - 5 - 2
376,Lazio,Sassuolo,0,1,1,7.1,7.0,1.33,5.50,8.00,1.06,1.02,69%,31%,"['Provedel', 'Hysaj', 'Romagnoli', 'Gila', 'Marusic', 'Vecino', 'Rovella', 'Pellegrini', 'Kamada', 'Zaccagni', 'Castellanos']","['Cragno', 'Erlic', 'Viti', 'Ferrari', 'Missori', 'Obiang', 'Lipani', 'Thorstvedt', 'Doig', 'Volpato', 'Mulattieri']",3 - 4 - 2 - 1,3 - 5 - 2
377,Frosinone,Udinese,2,0,1,6.8,7.2,2.50,3.10,3.10,0.91,0.86,58%,42%,"['Cerofolini', 'Lirola', 'Romagnoli', 'Okoli', 'Zortea', 'Barrenechea', 'Brescianini', 'Valeri', 'Soule', 'Harroui', 'Cheddira']","['Okoye', 'Kristensen', 'Bijol', 'Perez', 'Ehizibue', 'Samardzic', 'Walace', 'Payero', 'Kamara', 'Lucca', 'Brenner']",3 - 4 - 2 - 1,3 - 5 - 2
378,Empoli,AS Roma,1,2,1,6.8,6.9,2.15,3.60,3.10,2.70,1.32,33%,67%,"['Caprile', 'Bereszynski', 'Ismajli', 'Luperto', 'Gyasi', 'Bastoni', 'Marin', 'Maleh', 'Cacace', 'Destro', 'Cancellieri']","['Svilar', 'Celik', 'Mancini', 'Ndicka', 'Angelino', 'Bove', 'Cristante', 'Aouar', 'Dybala', 'Abraham', 'Zalewski']",3 - 5 - 2,4 - 3 - 3
379,Atalanta,Fiorentina,2,2,3,6.7,7.0,1.57,4.50,5.25,1.86,1.29,53%,47%,"['Carnesecchi', 'Toloi', 'Hien', 'Scalvini', 'Holm', 'Ederson', 'Pasalic', 'Ruggeri', 'Koopmeiners', 'Lookman', 'De Ketelaere']","['Martinelli', 'Kayode', 'Martinez Quarta', 'Ranieri', 'Biraghi', 'Lopez', 'Duncan', 'Gonzalez', 'Beltran', 'Castrovilli', 'Belotti']",3 - 4 - 2 - 1,4 - 2 - 3 - 1
